#{"t_start": 1698855030.0783315, "env_id": "turbolander-2d-custom-v1"}
r,l,t
-89.311225,57,0.359277
-97.698713,60,0.484352
-93.554046,49,0.587492
-86.755326,62,0.717625
-86.814613,50,0.822822
-94.361397,59,0.945941
-79.959549,51,1.05335
-66.120874,81,1.22379
-97.456216,67,2.999889
-67.316718,50,3.10541
-84.875584,53,3.487673
-73.050068,57,3.608394
-75.968885,69,3.755946
-82.635986,82,3.928195
-81.268957,47,4.028484
-91.055056,59,4.155919
-90.197621,59,5.758472
-90.307451,50,5.864871
-71.927676,59,6.014662
-55.634506,72,6.195801
-58.272609,69,6.619307
-100.321275,62,6.74762
-43.694325,59,6.889385
-79.989495,50,7.033643
-82.415178,55,7.18857
-87.530159,59,8.987729
-61.381737,58,9.19791
-75.587251,55,9.396509
-84.850227,72,9.65624
-58.264556,66,9.89591
-89.637927,60,10.112996
-87.467342,58,10.808323
-91.27174,94,12.759516
-63.799241,78,12.981807
-100.522571,76,13.199635
-78.469216,63,13.375679
-67.504817,89,13.633835
-95.083163,72,13.84109
-71.157704,57,14.004223
-42.73229,77,17.075728
-39.799111,99,17.283291
-73.239739,74,17.437618
-49.271099,76,17.607961
-105.637419,70,17.776364
-15.870293,70,17.995197
-51.832472,66,18.204468
-70.541387,66,19.857394
-84.319327,70,20.005792
-59.926017,91,20.607398
-89.852545,71,20.757948
-70.134564,94,20.956461
-53.091481,62,21.085378
-46.372436,72,22.723297
-54.787843,75,22.882317
-48.574272,82,23.090407
-75.160852,70,23.238475
-62.684946,85,23.754736
-98.610503,73,23.906581
-10.52406,68,24.050384
-166.838248,93,25.701891
-31.328716,69,25.846255
24.136638,73,26.000462
-224.298252,92,26.196561
-64.846474,80,26.363509
-78.077498,63,27.011176
4.232138,100,28.894957
-127.661172,113,29.222186
-40.436819,85,29.468966
24.61239,66,29.661855
0.867609,73,29.873265
4.589212,76,30.095486
-46.766687,81,32.577971
-34.035927,71,32.720596
-170.162744,120,32.971126
-0.114621,105,33.216277
-62.868942,66,33.351915
-21.233243,64,33.481903
-40.661305,76,35.222896
-8.944092,82,35.406417
-62.366923,84,35.921985
46.934265,79,36.085283
-158.603781,82,36.258708
-55.080898,86,36.439518
-44.235836,92,38.261379
-7.899324,65,38.393176
-147.244153,100,38.596969
-16.262044,84,39.102718
-153.276178,93,39.292787
-5.757712,95,39.487843
-43.397438,68,41.086539
-12.301425,72,41.237698
-60.63313,70,41.380821
-17.572654,96,41.576507
-25.916109,74,41.726981
-47.050576,79,42.207434
-34.170119,80,43.827644
60.496643,90,44.118605
-90.662338,82,44.399623
-31.815217,91,44.713654
-22.793679,70,44.958978
-67.39662,80,45.232588
11.938046,82,45.514998
34.62593,83,48.018202
-43.318782,77,48.204531
-20.053948,93,48.463009
-20.939357,73,48.625373
58.016944,142,48.930066
-16.451026,81,50.546319
-17.376479,93,51.070112
-8.057905,89,51.255742
-48.622608,78,51.417998
-17.068701,88,51.597377
-3.171577,78,51.759809
-167.100794,104,53.40481
-25.36178,86,53.580867
-27.186224,71,53.727813
-49.229472,81,54.245238
25.312327,78,54.407201
-48.147611,88,54.585963
-33.864918,84,56.209204
-22.871893,94,56.401933
-18.220583,84,56.606403
4.829756,79,56.878022
-30.768467,88,57.697509
-28.439113,90,57.961007
76.627401,94,59.714711
16.707067,92,59.90533
-22.278097,85,60.103003
-4.327509,104,60.461556
44.204712,99,60.806209
21.691516,87,63.614919
23.207596,119,63.956933
-43.521171,76,64.177184
-17.048839,88,64.433789
-148.109836,93,64.700004
-36.788461,89,66.522997
1.585934,100,67.189449
-8.278653,87,67.43772
-17.480819,89,67.690328
-175.109803,131,68.061351
57.600329,91,69.870705
20.084872,88,70.123064
-33.915462,93,70.385581
-24.157831,110,71.017187
81.008239,80,71.182024
-28.292587,86,71.361827
39.807535,86,73.136899
-13.723951,78,73.29542
35.428882,78,73.455312
0.654805,107,73.673529
-27.140166,78,74.119519
-1.253416,82,74.286601
21.477589,115,76.062653
-8.301493,91,76.376827
-20.211342,85,76.67205
66.188944,90,76.982877
-22.371026,102,77.334664
101.884744,103,80.136105
104.999499,118,80.377656
13.092017,103,80.591945
18.197295,77,80.752058
43.201326,94,80.949268
-38.150549,79,82.609766
54.295084,111,83.124331
47.322808,67,83.26073
27.881039,91,83.483663
34.596848,124,83.841223
20.942365,116,85.767403
-13.542454,80,86.000313
28.766028,78,86.227091
-34.459921,73,86.8143
56.808005,73,87.040114
58.016579,85,87.340877
61.220691,102,89.321775
-27.799521,75,89.545158
0.168699,79,89.77629
16.999384,63,89.963201
8.492574,75,90.183872
4.378183,62,90.691434
16.746252,94,90.965824
-27.197653,62,92.797042
18.989126,63,92.93951
31.60902,74,93.097864
41.459865,88,93.284334
66.696494,75,93.443324
10.042331,65,93.583308
52.119581,94,95.691625
-50.814198,94,95.905818
68.330248,79,96.075745
109.67456,105,96.321178
-37.16676,59,96.497822
7.78214,74,96.717723
19.973229,66,96.91867
-46.80699,97,99.050435
37.192637,67,99.597494
18.358949,93,99.855796
49.475908,87,100.037238
49.471771,76,100.198814
-29.592333,78,100.365464
33.360204,68,102.039192
72.579269,67,102.276863
40.939955,88,102.586804
-29.831321,69,103.23762
96.54165,114,103.642142
23.108021,80,103.927534
-15.847851,61,105.808122
-4.802427,65,105.976272
79.997699,84,106.149517
-24.165725,72,106.296714
-29.476234,57,106.413535
22.240076,79,106.855451
-22.459349,84,107.027351
-9.804356,71,109.437805
112.134353,92,109.626093
-28.435968,91,109.816396
16.978396,72,109.969426
34.057446,63,110.099034
1.582477,57,110.21754
25.617645,82,112.126371
87.346734,79,112.350489
-27.187872,67,112.546052
44.168337,82,112.782143
63.528531,114,113.107255
41.791235,88,113.361363
35.042777,68,115.587326
68.926131,89,115.784954
