#{"t_start": 1697131370.6674201, "env_id": "turbolander-2d-custom-v1"}
r,l,t
-99.918209,50,0.269705
-99.76875,57,0.358894
-99.847993,51,0.437654
-99.639107,56,0.523256
-99.981617,55,0.608739
-99.751175,56,0.694081
-99.661675,59,0.786047
-99.916268,55,0.872299
-99.991463,59,0.963106
-99.970867,52,2.232473
-99.985906,56,2.320838
-99.9852,63,2.628612
-99.871769,53,2.711196
-99.932794,58,2.800565
-99.989705,51,2.87948
-99.976076,52,2.959137
-99.663825,51,3.036593
-99.907109,54,3.119795
-99.977374,81,4.402518
-99.804029,60,4.494391
-99.981398,56,4.578745
-99.968077,63,4.67555
-99.803282,54,4.963011
-99.970433,54,5.046166
-99.979658,59,5.136304
-99.980403,60,5.227037
-99.9869,52,6.453106
-99.980636,67,6.555732
-99.740191,55,6.639471
-99.984608,57,6.725084
-99.945605,65,6.823499
-99.714639,63,6.91911
-99.930919,67,7.244701
-99.93233,58,7.331158
-99.882345,76,8.579385
-99.68339,60,8.67055
-99.970008,57,8.755428
-99.721516,60,8.846561
-99.983217,66,8.946403
-99.944187,58,9.034495
-99.692097,77,9.151144
-99.984441,75,9.263614
-99.968797,70,10.731236
-99.653303,78,10.84862
-99.969981,57,10.934922
-99.927206,77,11.050819
-99.776255,56,11.135725
-99.781032,77,11.251323
-99.947648,62,11.344563
-99.605389,69,12.595814
-99.881206,69,12.705897
-99.958993,74,13.127012
-99.966985,63,13.222556
-99.558872,78,13.339501
-99.976607,66,13.439275
-99.809449,79,13.557343
-99.990288,58,14.799574
-99.978225,59,14.887157
-99.943268,86,15.014935
-99.913782,88,15.419432
-99.985602,71,15.523692
-99.665657,82,15.644042
-99.822078,71,15.747745
-99.623464,64,16.992104
-99.975053,61,17.082484
-99.980059,85,17.208189
-99.984768,60,17.296815
-99.792997,62,17.388847
-99.772824,58,17.47454
-99.98359,74,17.887366
-99.980799,76,19.130695
-99.726417,79,19.247468
-99.860963,73,19.355677
-99.881886,79,19.473134
-99.581393,81,19.593758
-99.879262,85,19.72003
-99.983515,91,21.298304
-99.768142,61,21.388618
-99.990182,67,21.488295
-99.754637,114,21.656518
-99.965236,79,21.772757
-99.795189,67,21.872075
-99.895006,87,22.001526
-99.85209,110,23.299466
-99.986191,93,23.824912
-99.916024,87,23.954904
-99.974964,93,24.10053
-99.852736,111,24.266751
-99.932898,83,25.54552
-99.050387,162,25.786174
-99.707791,136,26.304344
-99.925874,128,26.491673
-99.042887,117,27.804509
-99.212557,134,28.000349
-99.962111,124,28.181944
-99.733092,115,28.654504
-99.896229,135,29.999832
-99.87803,137,30.210526
-99.593021,91,30.349418
-98.997526,174,32.016822
-99.77937,97,32.162019
-99.060756,134,32.368768
0.917391,107,32.537678
-98.972189,113,32.707742
-97.27143,156,34.102698
-98.10231,117,34.505874
-98.54945,198,34.813048
-98.895138,135,36.163319
-99.341018,113,36.342513
6.041813,129,36.744932
10.552021,123,36.947656
13.087664,110,38.274125
-98.639388,132,38.487503
7.601292,103,38.659272
5.831311,160,39.125979
9.437135,107,40.444127
-99.862055,198,40.779326
1.466306,108,40.963897
5.802371,101,41.130669
9.73585,92,42.615207
9.078261,81,42.760082
12.653989,93,42.921962
9.976085,104,43.10348
0.386835,71,43.227425
1.556272,110,44.571018
4.788424,73,44.701399
2.786511,68,45.004318
4.743339,73,45.134898
5.305234,83,45.277248
7.26944,98,45.445356
1.951954,91,45.605458
0.560022,77,46.882477
3.326642,77,47.017411
2.313238,64,47.137249
3.52845,83,47.467191
1.756512,87,47.619484
0.619897,77,47.758584
7.280607,67,49.024637
4.486703,99,49.197906
0.674699,71,49.325771
1.835761,69,49.451013
5.243235,78,49.59018
3.155277,70,49.89659
