#{"t_start": 1697131370.6621451, "env_id": "turbolander-2d-custom-v1"}
r,l,t
-99.603773,53,0.279812
-99.868584,54,0.363177
-99.606013,57,0.451953
-99.995058,52,0.530847
-99.976626,56,0.618042
-99.766624,55,0.701972
-99.85947,50,0.779999
-99.749138,60,0.873003
-99.958239,51,0.95176
-99.971222,66,2.244703
-99.920277,64,2.346142
-99.984522,60,2.646363
-99.809302,51,2.725995
-99.97951,60,2.818565
-99.952675,62,2.913765
-99.894278,57,3.002012
-99.840524,57,3.089875
-99.987702,59,4.337568
-99.930211,66,4.438983
-99.814296,54,4.521454
-99.982455,58,4.610613
-99.929482,68,4.917768
-99.708197,47,4.990296
-99.973159,59,5.080902
-99.914185,68,5.183682
-99.99145,50,5.261016
-99.944293,63,6.503954
-99.979664,56,6.589493
-99.948506,63,6.685237
-99.531746,61,6.777684
-99.808935,57,6.86462
-99.985157,51,6.941816
-99.89103,61,7.256859
-99.723539,67,7.358356
-99.9738,74,8.601938
-99.993158,58,8.690061
-99.8684,61,8.782245
-99.984204,63,8.877992
-99.988142,58,8.964223
-99.721549,48,9.037338
-99.992717,60,9.128319
-99.986635,69,9.232459
-99.830451,58,10.68078
-99.818357,56,10.76647
-99.972037,62,10.859571
-99.943443,87,10.990065
-99.965619,62,11.083982
-99.703983,86,11.212349
-99.987545,61,11.304296
-99.899751,65,12.550056
-99.990293,71,12.657502
-99.900045,61,13.066583
-99.987794,72,13.175157
-99.486537,70,13.280536
-99.928948,70,13.386834
-99.866446,69,13.490226
-99.974659,73,13.599288
-99.885307,71,14.857288
-99.982907,70,14.960114
-99.836382,69,15.064198
-99.794369,63,15.433255
-99.957323,64,15.526606
-99.983584,62,15.617967
-99.986206,68,15.717542
-99.902798,68,16.967133
-99.984796,82,17.088638
-99.935894,79,17.204771
-99.766723,74,17.314413
-99.895568,70,17.418412
-99.984221,77,17.835069
-99.854086,78,17.95101
-99.886194,82,19.204152
-99.955457,82,19.325723
-99.79974,84,19.449546
-99.989328,66,19.547623
-99.9811,91,19.68167
-99.983994,101,19.832518
-99.91582,84,21.400644
-99.985758,65,21.497252
-99.985612,59,21.584811
-99.858604,85,21.709136
-99.992102,64,21.803472
-99.977411,65,21.899724
-99.613663,100,23.185574
-99.544407,94,23.322444
-99.690517,81,23.831082
