#{"t_start": 1697113849.187121, "env_id": "turbolander-2d-custom-v1"}
r,l,t
-98.639296,48,0.459066
-99.26005,50,0.56947
-98.221873,53,0.687078
-93.256599,58,0.821054
-99.23332,54,0.941075
-99.251104,53,1.060542
-99.005537,47,1.163767
-99.369178,54,1.284914
-95.852059,53,1.405602
-96.971821,51,2.950951
-98.974741,64,3.095087
-96.604466,56,3.511475
-98.1915,58,3.650692
-94.032567,55,3.776424
-98.10184,47,3.882368
-99.331371,58,4.014159
-98.832393,60,4.149242
-98.801934,57,4.2838
-99.120599,53,5.872141
-99.104381,63,6.013015
-93.784989,56,6.136433
-99.1579,54,6.253551
-99.037879,52,6.655889
-80.137422,61,6.794381
-93.968945,63,6.939995
-93.947163,57,7.069322
-99.341841,51,7.185452
-99.273416,62,9.011762
-99.400476,56,9.137789
-97.698328,65,9.290889
-99.246816,67,9.467788
-99.207324,64,9.645659
-98.099048,68,9.800479
-99.221614,58,10.232285
-99.204011,58,10.36844
-98.950999,80,12.496219
-99.223026,66,12.64144
-99.335042,52,12.756542
-99.187271,62,12.895728
-99.199514,71,13.051504
-99.282227,62,13.190798
-99.071814,54,13.311021
-99.388771,53,13.427621
-99.104407,71,15.417319
-99.182706,71,15.576622
-93.972514,74,15.744699
-98.767024,72,15.903522
-97.804081,86,16.094341
-95.302528,75,16.261534
-98.042091,69,18.100388
-98.541089,62,18.237608
-96.267118,68,18.797463
-99.158555,79,18.973428
-98.944352,81,19.152303
-98.574776,72,19.313963
-98.812331,79,19.487594
-98.858177,75,21.24309
-99.244403,68,21.391776
-98.657879,69,21.545672
-99.339404,55,21.673141
-99.330858,62,22.282047
-98.278112,82,22.460363
-99.302427,63,22.601131
-96.139234,95,24.635113
-98.047815,84,24.82099
-95.665925,97,25.032835
-98.821786,73,25.192939
-98.767362,75,25.357303
-98.892194,82,25.985491
-97.95412,97,27.904024
-96.190386,113,28.146502
-98.946703,91,28.343367
-97.141172,102,28.564024
-99.021119,67,28.711322
-97.35273,101,28.930304
-95.647395,103,31.441879
-97.152331,116,31.697957
-93.545314,130,31.986071
-97.221847,113,32.233252
-96.501622,113,33.965195
-97.355143,108,34.594311
-98.674706,84,34.788543
-97.126089,122,35.064797
-86.545607,109,35.307683
-98.361133,136,37.048782
-98.697818,111,37.290072
-94.190931,107,37.879108
-93.486001,154,38.225136
-97.748142,111,40.109691
-98.251655,155,40.446575
-98.099709,100,40.662886
-97.251153,142,42.642134
-91.593247,102,42.869245
-91.953447,130,43.156033
-96.156604,125,43.427243
-96.773537,98,43.638765
-96.763188,186,45.951604
-94.941993,210,46.400099
-94.840449,149,48.647346
-98.558803,94,48.847745
-96.794293,111,49.503266
-97.612562,155,49.842226
-97.01739,101,50.069474
-91.493135,135,51.826999
-98.454785,112,52.084244
-94.979305,165,52.815293
-97.708345,108,53.058292
-95.505166,128,54.850792
-97.552529,138,55.147554
-94.055706,123,55.849347
-98.551526,134,57.697128
-94.632308,128,57.972882
-97.170504,123,58.239352
-92.864284,180,58.627846
-96.390177,124,60.796258
-83.785064,213,61.261431
-95.769349,208,61.728443
-95.353405,106,63.447189
-97.168075,113,64.022477
-91.311546,113,64.275655
-95.691967,153,64.610682
-98.554326,120,66.413736
-95.986349,135,66.717921
-97.9889,150,67.497293
-96.071747,142,69.650659
-81.878334,271,70.238711
-98.052312,115,71.015727
-93.819525,143,72.807499
-89.216051,301,73.454031
-98.736777,122,73.719229
-95.498121,101,76.579486
-96.38792,232,77.081165
-98.819664,94,77.282644
-94.69669,229,80.112797
-96.10406,184,80.522985
-97.854785,137,80.824468
-94.338601,231,83.202574
-88.703497,333,86.690244
-82.618867,408,90.447737
-90.141038,284,92.861174
-95.32101,219,93.329024
-78.071473,431,98.539254
-65.912099,757,107.05391
-94.444274,258,112.738956
-92.995868,330,114.919924
-86.766811,530,142.223042
