#{"t_start": 1697121519.6894023, "env_id": "turbolander-2d-custom-v1"}
r,l,t
-99.875255,55,0.288845
-99.976077,59,0.380159
-99.96962,57,0.469215
-99.983178,60,0.561855
-99.98132,62,0.656963
-99.842967,78,0.77822
-99.702278,58,0.869016
-99.977887,63,0.966243
-99.956256,51,2.206994
-99.849146,60,2.298956
-99.95557,57,2.656259
-99.585938,62,2.749658
-99.961942,67,2.852695
-99.985829,68,2.956742
-99.898787,63,3.053006
-99.900163,52,3.133663
-99.934713,57,4.37581
-99.988403,93,4.518788
-99.731461,70,4.625949
-99.983626,87,5.115958
-99.949837,65,5.215852
-99.475889,108,5.382194
-99.881455,75,6.680021
-99.99086,83,6.808431
-99.991048,61,6.903199
-99.897877,71,7.012094
-99.988791,100,7.164369
-99.744802,79,7.619304
-99.95114,101,8.931093
-99.126731,111,9.099028
-99.979328,111,9.266215
-99.825996,97,9.414944
-99.799346,114,9.585788
-99.805134,154,11.241764
-99.286824,136,11.44757
-99.937149,93,11.590268
-99.812629,163,13.00288
-99.581698,91,13.139692
-99.727163,85,13.46169
-99.395395,117,13.638737
-99.66828,98,13.786511
-99.328441,124,15.124972
-99.223591,80,15.247372
-99.298924,92,15.387621
-98.712789,86,15.704469
-96.214702,87,15.838348
-96.225125,75,15.951499
-99.912246,74,17.214102
-99.013404,189,17.496337
-99.785202,129,17.689148
-99.868393,162,18.128521
-95.641624,108,19.440146
-97.171519,124,19.62745
-90.368614,133,19.82862
-99.163586,104,19.983538
-93.019828,119,21.520082
-93.883089,197,21.812196
-97.338859,105,21.96946
-99.063601,116,22.142293
-99.786919,126,23.481924
-99.987631,81,23.868295
-99.511838,116,24.042526
-99.708789,99,24.190403
-94.445202,147,25.558236
-99.775355,117,25.734339
-93.879446,166,26.192508
-95.788504,152,26.420835
-97.808055,80,27.686159
-99.100695,97,27.83411
-98.420939,96,27.983046
-92.710397,114,28.347464
-99.330417,155,29.745427
-97.037584,114,29.924802
-99.899419,144,30.146333
-99.900444,121,30.332603
-99.786506,129,31.890822
-95.123835,123,32.075763
-99.861214,98,32.223474
-99.96337,140,32.434459
