#{"t_start": 1697121519.6890066, "env_id": "turbolander-2d-custom-v1"}
r,l,t
-99.891505,68,0.312249
-99.99116,67,0.41564
-99.99015,63,0.512987
-99.839922,57,0.599297
-99.85485,54,0.68214
-99.981782,68,0.788683
-99.976076,62,0.885023
-99.709215,66,2.150222
-99.977149,65,2.250026
-99.988882,69,2.622528
-99.985439,73,2.73528
-99.686969,65,2.835071
-99.96203,79,2.955407
-99.566734,69,3.061283
-99.781458,76,4.333752
-99.709406,75,4.448119
-99.684846,71,4.556148
-99.968368,81,4.679618
-99.964785,74,5.150891
-99.751466,84,5.281502
-99.965912,96,5.428769
-99.744249,65,6.712595
-99.565848,89,6.849795
-99.894053,99,7.001732
-99.74691,63,7.0975
-99.989775,76,7.213117
-99.974688,77,7.666533
-99.957653,73,8.934618
-99.75046,91,9.070911
-99.371054,128,9.264623
-99.835292,120,9.448669
-99.893388,96,9.592165
-99.555469,103,11.169118
-98.083549,134,11.373933
-99.842461,101,11.52742
-96.402745,147,11.756525
-99.78187,105,13.076564
-95.386193,92,13.408547
-99.171635,94,13.550051
-97.881008,98,13.698448
-99.618963,88,13.829924
-93.940927,83,15.106823
-95.984671,92,15.247478
-98.628588,89,15.383314
-92.794347,81,15.692859
-99.509714,85,15.823329
-99.378431,74,15.935623
-96.344485,98,17.233954
-99.901933,143,17.44891
-97.41431,76,17.561918
-97.752737,77,17.675977
-99.808655,106,18.031962
-98.773203,108,19.34394
-95.356454,106,19.503403
-97.894668,145,19.722165
-99.958794,105,19.87938
-99.462182,158,21.475306
-98.014042,137,21.677672
-99.308826,139,21.883627
-98.203243,141,22.094628
-99.912038,178,23.777851
-99.815752,96,23.921578
-98.303078,188,24.202395
-97.370192,191,25.637573
-96.834812,121,25.818621
-99.802509,117,26.203189
-98.753329,279,27.768534
-95.503023,92,27.910131
-97.601255,108,28.076424
-97.560186,87,28.401003
-96.590337,98,29.709383
-99.846223,105,29.874172
-99.939058,115,30.051756
-95.87456,120,30.238338
-96.835904,109,30.40332
-99.076505,149,31.991393
-99.361621,147,32.213383
-99.371115,141,32.425611
