#{"t_start": 1697206189.3853834, "env_id": "turbolander-2d-custom-v1"}
r,l,t
-112.991604,52,0.278712
-114.909275,60,0.370637
-111.737488,48,0.444824
-112.994166,52,0.524215
-112.992601,52,0.60292
-114.99207,60,0.698857
-112.741594,51,0.780861
-112.491738,50,0.858448
-112.993908,52,0.938317
-114.603521,59,2.209641
-116.627698,68,2.318437
-113.574303,55,2.608913
-115.23003,61,2.701496
-115.863822,64,2.798926
-114.144353,57,2.885209
-112.939658,52,2.964972
-115.453131,63,3.060218
-116.735913,67,4.301735
-117.489129,70,4.407183
-113.92488,56,4.492147
-117.228965,70,4.597082
-113.242305,53,4.878495
-114.97336,60,4.969075
-114.211869,57,5.056425
-112.936764,52,5.134302
-113.986833,56,5.218683
-113.676334,56,6.433007
-114.236692,57,6.517559
-115.090111,62,6.611423
-115.948153,64,6.708114
-117.60389,71,6.814265
-114.104413,58,6.901838
-115.190501,61,7.212791
-116.217986,65,7.311211
-115.740638,63,8.532589
-115.988106,64,8.628079
-120.234218,81,8.748053
-116.686349,67,8.848743
-116.183566,65,8.945691
-114.911197,61,9.036888
-119.23692,77,9.151964
-114.171671,58,10.616221
-122.440255,91,10.7521
-115.223805,61,10.844525
-118.490539,74,10.95676
-116.741084,67,11.056578
-117.485937,70,11.160596
-116.845023,68,11.26185
-116.485091,66,12.48752
-119.071032,78,12.602464
-116.45689,66,13.041477
-119.209429,77,13.156819
-115.482516,62,13.248027
-121.230389,85,13.375042
-119.452615,78,13.490253
-117.95716,72,14.726903
-122.905454,94,14.865124
-119.043485,78,14.980373
-120.962916,85,15.510197
-115.243749,61,15.601451
-121.275043,87,15.73137
-116.555861,67,16.96765
-120.851944,84,17.094123
-126.780721,108,17.255927
-118.736912,75,17.366889
-119.976157,80,17.484594
-120.264494,82,18.064599
-119.487061,78,19.306844
-123.796216,96,19.447029
-126.735493,107,19.604853
-122.72105,91,19.738029
-121.424968,86,19.864717
-123.555496,95,20.006382
-123.21853,93,21.630287
-116.972483,68,21.730191
-120.476174,82,21.852941
-125.471101,102,22.002156
-125.083047,102,22.153757
-127.573988,112,23.445627
-126.075073,107,24.002505
-121.843257,89,24.140357
-118.34596,74,24.249274
-126.814763,108,24.409485
-119.70791,79,25.654
-119.236709,77,25.767373
-123.187972,93,25.906695
-118.240476,73,26.377944
-115.924589,64,26.472047
-121.676956,88,26.603925
-122.579744,91,26.737911
-121.12238,85,27.99683
-116.24569,66,28.096425
-115.329979,62,28.189317
-114.042255,57,28.274034
-115.474147,62,28.367143
-116.97623,68,28.762782
-117.562088,72,28.872558
-118.990439,76,30.106198
-117.047311,69,30.210366
-116.454744,66,30.309764
-115.246498,62,30.403545
-114.994087,60,30.495504
-116.053586,66,30.59866
-115.743191,63,30.693565
-114.72877,59,30.782995
-117.733373,71,32.2466
-114.239337,57,32.333035
-120.735092,83,32.45772
-113.859295,56,32.543
