#{"t_start": 1697308293.4451098, "env_id": "turbolander-2d-custom-v1"}
r,l,t
-28.639731,124,0.384786
-125.0,500,2.30359
-125.0,500,5.231816
-125.0,500,8.339481
-125.0,500,11.571833
-125.0,500,15.018969
-125.0,500,16.867223
-125.0,500,19.996634
-125.0,500,22.756953
-92.95923,375,24.124704
-46.987106,194,25.58265
-125.0,500,27.847793
-51.138519,211,28.150133
-85.131629,344,30.217987
-41.136646,173,30.461237
-125.0,500,32.608172
-13.348403,71,32.710146
-13.592633,74,33.956819
-125.0,500,36.123675
-40.742145,170,36.39108
-13.882949,74,36.498699
-25.27093,114,36.661952
-25.391147,113,38.277211
-15.775088,81,38.396784
-18.472551,87,38.524647
-14.220933,76,38.636399
-16.956192,83,38.758326
-14.421424,65,38.855643
-11.850727,68,38.955751
-24.429696,110,40.265764
-28.610621,125,40.709327
-10.718596,65,40.805461
-20.972807,93,40.941764
-13.586583,62,41.033436
-15.102296,72,42.289098
-19.437677,93,42.425449
-16.394604,82,42.546362
-26.325813,117,42.961961
-11.263991,61,43.051042
-20.7718,96,43.189986
-10.852224,63,44.480659
-12.717284,59,44.566043
-10.808751,63,44.658218
-9.705876,60,44.74567
-13.422934,68,44.844692
-15.147275,69,44.944709
-11.905794,62,45.286754
-10.97042,61,45.37762
-22.3846,104,46.680326
-14.284813,68,46.77979
-11.441299,65,46.875893
-11.676071,59,46.962796
-11.569663,62,47.054446
-10.547707,63,47.147812
-11.093343,66,47.244158
-18.660447,88,48.749574
-27.359855,120,48.924054
-28.456631,124,49.10303
-16.401137,78,49.216075
-10.976455,60,49.304496
-10.699728,65,49.399189
-9.544345,60,50.624804
-13.879082,66,50.944252
-21.434089,97,51.085474
-13.601498,63,51.177865
-13.617538,64,51.271712
-12.139828,61,51.363431
-9.900856,62,51.453912
-12.936529,59,52.687381
-12.247505,64,52.782923
-20.576762,92,52.919365
-9.913361,61,53.008457
-12.148458,59,53.31382
-11.251496,60,53.402023
-11.633281,56,53.484401
-9.926725,59,53.570256
-9.756847,63,54.824045
-12.323383,58,54.910329
-12.271919,64,55.005994
-8.764653,60,55.096432
-12.070987,62,55.188757
-11.186239,64,55.283194
-10.223556,58,55.592772
-12.4065,65,55.68954
-12.371022,57,56.928048
-9.970745,60,57.017459
-21.892664,101,57.168064
-8.777832,61,57.259273
-9.111624,61,57.351258
-12.399476,57,57.435411
-13.789274,69,57.539935
-13.124851,66,59.013796
-9.464264,60,59.105728
-13.699712,64,59.202413
-12.683536,58,59.289292
-11.731237,58,59.374552
-10.941723,61,59.465746
-11.484642,62,59.558057
-12.464384,65,59.656365
-9.819668,60,59.746924
-9.859305,60,60.99775
-12.083604,59,61.086478
-13.198529,63,61.407118
-12.545759,58,61.494347
-10.555468,57,61.580976
-11.613516,60,61.670629
-10.138468,64,61.767156
-11.569807,58,61.854306
-11.53761,62,63.101673
-9.589718,58,63.187296
-18.084052,83,63.308851
-9.943522,58,63.394897
-10.467095,61,63.700462
-13.420771,64,63.795806
-10.657075,64,63.890072
-12.260525,57,63.973761
-11.60404,56,65.196836
-11.543228,62,65.286973
-15.118794,75,65.397254
-12.320307,61,65.486733
-10.76674,60,65.575069
-11.632019,62,65.66625
-10.427486,61,65.973741
-10.42912,58,66.059521
-13.182862,67,67.329786
-13.877082,65,67.426846
-13.757743,64,67.520975
-11.75714,61,67.611074
-12.619338,64,67.706345
-14.38504,69,67.807645
-13.588248,63,67.901114
-11.483362,60,67.990293
-9.680186,60,69.460097
-12.3332,58,69.546919
-12.157931,63,69.639932
-9.293924,62,69.73166
-9.193387,60,69.820412
-18.232405,85,69.945705
-10.108919,63,70.038378
-12.764795,61,71.286756
-12.591885,65,71.385937
-11.825636,59,71.694889
-11.032066,58,71.782706
-12.919259,66,71.883044
-12.166116,61,71.975187
-10.997886,56,72.059574
-10.536243,61,72.151813
-10.620529,65,72.249764
-12.811814,60,73.515104
-10.906172,59,73.605344
-12.60189,63,73.700477
-12.778366,59,73.790015
-10.753208,55,74.087129
-10.88023,58,74.173175
-12.525863,61,74.265548
-12.627836,60,74.356361
-12.356771,66,75.638491
-10.450427,60,75.729218
-13.287503,62,75.823291
-11.514149,58,75.90929
-8.037294,59,75.998806
-11.114049,58,76.08685
-14.524671,68,76.406671
-10.493824,55,76.49117
-14.928277,71,77.827243
-9.689307,63,77.928628
-9.420672,61,78.019232
-11.884807,62,78.111537
-14.195086,66,78.209093
-14.10507,66,78.307931
-10.420515,59,78.398396
-8.180942,58,78.486906
-9.40122,60,79.992037
-10.792901,58,80.093615
-9.218316,57,80.184585
-11.238215,60,80.280123
-11.104033,55,80.364854
-9.601833,61,80.457491
-11.169003,60,80.556869
-10.148029,59,80.656145
-9.789092,59,80.745954
-12.410821,63,82.051869
-10.181641,59,82.137603
-10.946423,58,82.436558
-12.455439,65,82.532515
-10.432736,60,82.625448
-10.682684,57,82.731931
-10.197943,57,82.82264
-8.921907,59,82.911184
-9.31246,58,84.207517
-9.588428,59,84.298087
-10.299591,55,84.380394
-10.643649,54,84.462698
