#{"t_start": 1698767475.502622, "env_id": "turbolander-2d-custom-v1"}
r,l,t
-99.99356,54,0.348485
-99.879814,50,0.448236
-99.978639,78,0.604993
-99.973843,46,0.72553
-99.916511,66,0.946391
-99.948488,51,1.118044
-99.696794,58,1.315599
-99.993258,58,1.514121
-99.833126,94,4.134609
-99.738718,55,4.27866
-99.989632,55,4.753467
-99.979163,69,4.931684
-99.98569,56,5.071648
-99.713569,56,5.216263
-99.816373,48,5.336943
-99.923642,74,5.532465
-99.826538,67,7.290281
-99.907151,54,7.400781
-99.73718,57,7.518339
-99.734147,60,7.692103
-99.992075,69,8.279881
-99.994761,55,8.4656
-99.714988,54,8.643836
-99.93768,57,8.838557
-99.722017,72,10.800886
-99.914692,56,10.944649
-99.569214,68,11.095158
-99.706015,94,11.279183
-99.82757,63,11.404402
-99.975616,48,11.498739
-99.824911,65,11.891326
-99.951955,54,11.996569
-99.932251,54,13.888863
-99.865218,49,14.018485
-99.944623,58,14.170318
-99.943655,91,14.371403
-99.839007,73,14.515569
-99.752413,98,14.715574
-99.988021,59,14.835697
-99.818123,75,16.889041
-99.957444,52,17.025967
-99.947124,57,17.174455
-99.99326,85,17.397845
-99.994059,69,17.577598
-99.646207,90,17.812314
-99.991705,53,17.947095
-99.989807,67,18.119585
-99.65653,75,20.310294
-99.820281,52,20.415112
-99.921206,111,21.104291
-99.985748,78,21.28546
-99.845702,67,21.420633
-99.941432,74,21.571166
-99.711587,62,23.21217
-99.959196,60,23.329164
-99.833685,75,23.474297
-99.821237,72,23.619641
-99.944052,59,24.106133
-99.789833,68,24.247943
-99.884145,58,24.36425
-99.722758,67,24.499653
-99.822808,63,26.371165
-99.917429,71,26.553964
-99.864055,71,26.741257
-99.885664,79,26.950262
-99.781449,98,27.211429
-99.971859,63,27.80426
-99.825585,75,28.004146
-99.973573,87,29.89196
-99.268859,122,30.202427
-99.979502,80,30.402289
-99.983079,68,30.575949
-99.786741,77,30.76959
-99.989808,90,33.326947
-99.979939,67,33.502284
-99.905443,96,33.744193
-99.825986,72,33.928679
-99.986515,70,34.105751
-99.978392,83,34.315986
-99.630205,79,34.515443
-99.978199,88,36.439692
-99.885181,82,37.083488
-99.884557,166,37.609472
-99.742135,129,38.028132
-98.377252,116,40.13499
-99.894123,109,40.344812
-99.80183,118,40.99442
-98.526199,87,41.164848
-98.717467,81,41.325659
-99.876434,99,43.072673
-98.670854,170,43.405992
-99.424016,87,43.578749
-99.621628,107,44.211661
-99.344711,95,45.927555
-98.07811,237,46.400633
-99.959266,94,46.597327
-99.52014,118,46.900139
-96.872106,149,49.683434
-99.974904,99,49.875422
-99.979035,120,50.106358
-98.772367,129,50.353599
-99.685615,116,52.279576
-99.0278,147,52.903242
-99.892619,130,53.157113
-95.102445,135,53.422081
-99.667174,138,55.318671
-97.423634,113,55.601794
-99.980939,115,56.254345
-99.989478,81,56.459888
-93.708397,103,58.239794
-99.723845,195,58.624536
-99.876798,164,59.410089
-96.417391,162,61.194846
-99.992236,97,61.381788
-99.822865,240,61.925158
-99.982432,138,64.435211
-93.549427,114,64.7289
-98.186868,107,65.003769
-95.741035,138,65.352049
-99.436745,116,67.820326
-97.446582,128,68.443698
-99.846641,165,68.788965
-85.557252,135,69.126693
-80.762124,105,71.718184
-99.950776,134,72.019536
-99.971148,113,72.60304
-99.435671,99,72.818914
-99.842473,142,75.161361
-84.682018,207,75.667109
-99.250869,141,76.379397
-99.843917,130,79.69937
-94.381834,220,80.276603
-99.677147,218,80.760765
-99.267828,113,83.391633
-77.97363,152,83.69156
-98.54524,258,84.310949
-94.503738,158,87.017539
-91.842711,150,87.339286
-96.989557,142,87.617478
-99.788513,153,89.357047
-67.716613,207,90.130018
-90.074967,111,90.34591
-93.368908,181,92.149965
-90.696108,131,92.403039
-88.95538,151,92.68837
-89.302334,148,95.179549
-91.914405,255,95.660562
-72.949879,187,96.01808
-84.168029,315,99.030651
-99.839507,174,99.586474
-92.832461,120,101.524349
-95.386347,97,102.453528
-78.829385,196,103.076544
-99.02518,271,105.522786
-97.81844,142,106.42968
-98.767475,97,106.653192
-92.077964,133,106.961199
-95.641788,278,109.239061
-99.97584,122,109.953553
-92.032947,330,112.083081
-88.299744,198,112.456052
-84.972728,225,115.204396
-75.679491,348,115.915125
-97.403775,276,119.169004
-93.700241,375,122.112012
-90.090726,205,123.471436
-50.220036,435,126.223637
-95.588609,344,129.624007
36.934368,500,133.341442
-96.127789,407,135.560289
0.403631,500,139.277061
12.52389,500,142.889738
-99.72211,151,143.178543
56.653155,500,146.946414
5.22298,500,150.887234
15.431215,500,154.976923
-51.634203,283,155.522247
31.81782,500,160.018093
14.498233,500,164.320824
7.313186,500,166.99582
16.661909,500,171.320507
0.36591,500,175.021276
-98.798893,102,177.386917
19.510863,500,181.562037
-99.344302,87,181.730858
26.836853,500,185.151412
50.289794,500,188.806551
13.814167,500,192.364892
3.720363,500,194.951489
57.662066,500,198.376373
52.281,500,201.714111
34.661029,500,204.883764
-96.799017,70,205.018744
-96.95613,61,205.138591
46.587139,500,209.295572
-92.237799,74,209.440972
14.912577,500,213.343057
6.801745,500,215.702083
40.235456,500,218.942676
9.136518,500,222.229192
75.701558,500,225.397294
20.540025,500,229.035439
4.599135,500,232.072682
64.957792,500,236.449213
20.10712,500,240.382411
51.431673,500,243.514015
113.580944,500,247.218801
67.722286,500,249.928144
-97.603054,66,251.476881
114.390585,500,254.284551
35.58436,500,258.076771
-90.64918,65,258.23766
65.230628,500,262.609779
-88.654129,76,264.228459
51.496498,500,267.837951
112.26852,500,271.408452
-88.258367,80,271.607896
12.95806,500,275.365937
7.750473,500,279.583922
27.970033,500,282.236151
27.606347,500,286.174073
-90.478099,77,286.368809
2.294389,500,289.916199
60.91305,500,292.961337
14.022644,500,296.707722
32.210743,500,299.171565
77.630232,500,302.484148
88.43743,500,305.962178
56.54281,500,309.852803
15.947455,500,313.752061
32.94314,500,316.251194
-93.09984,75,317.261751
11.664743,500,320.578222
98.382903,500,324.004231
24.567686,500,327.281782
33.822493,500,331.779379
61.913593,500,336.399537
21.422594,500,339.332184
65.553666,500,343.190352
19.529504,500,347.606885
96.753894,500,353.216906
36.21322,500,357.846349
133.25266,500,360.623388
-98.404452,75,360.808212
