#{"t_start": 1697117228.6656418, "env_id": "turbolander-2d-custom-v1"}
r,l,t
-96.247615,52,0.332021
-92.560053,60,0.465781
-99.286303,54,0.570095
-99.360352,48,0.663724
-99.044145,60,0.786769
-98.684048,53,0.883183
-98.277744,53,0.990868
-97.4909,54,1.095093
-98.520259,53,1.20065
-98.942443,52,4.169582
-99.360525,55,4.277197
-99.107155,59,4.645985
-99.093691,60,4.761311
-97.679108,54,4.866015
-99.070893,61,4.982581
-99.123541,62,5.100559
-98.624501,53,5.204168
-92.114359,62,8.227494
-92.511148,71,8.358152
-97.66423,56,8.463859
-98.538842,67,8.588982
-99.07357,66,8.979439
-98.987579,65,9.102778
-97.778413,61,9.21521
-99.108713,83,9.374383
-99.245089,66,12.359739
-89.006636,80,12.508901
-96.36425,83,12.654361
-98.436432,69,12.777199
-99.255483,66,12.896013
-89.636293,82,13.424609
-93.403488,73,13.555258
-98.760551,97,16.589004
-97.805159,98,16.755334
-95.442616,151,17.011933
-97.740713,113,17.206642
-94.020462,155,20.804717
-97.143511,206,21.146685
-97.16064,142,21.383344
-97.333034,123,24.440123
-96.971379,103,24.844077
-98.069307,94,25.007733
-97.989683,90,25.166358
-96.452611,93,25.324712
-92.019613,98,28.391139
-98.381469,88,28.547581
-97.38302,99,28.721204
-97.832377,81,29.072072
-97.066893,87,29.224866
-96.230652,132,32.304114
-97.535501,97,32.468061
-97.441492,116,32.667974
-97.912494,127,33.104723
-97.622877,90,33.260841
-95.77919,147,36.318237
-93.304833,107,36.497476
-96.325231,113,36.681879
-96.505197,177,40.035258
-96.598248,163,40.300801
-97.859753,93,40.454389
-89.841256,183,40.747245
-97.012533,121,43.7452
-93.930895,167,44.569183
-91.13785,242,44.956405
-92.16348,202,48.061119
-93.177368,228,49.491227
-94.163376,286,52.737889
