#{"t_start": 1697117228.6685135, "env_id": "turbolander-2d-custom-v1"}
r,l,t
-99.368427,52,0.331254
-98.572894,58,0.455485
-92.615723,56,0.569313
-98.17472,49,0.66441
-99.138597,56,0.773071
-98.692772,66,0.908904
-98.305637,49,1.005699
-98.559913,55,1.110948
-99.340938,50,1.208925
-98.316739,52,4.174622
-99.182401,55,4.282185
-98.072237,57,4.648114
-98.645467,64,4.770903
-95.882873,59,4.884611
-84.722951,58,4.99514
-99.064255,58,5.107243
-98.818279,56,5.216893
-99.097355,59,8.234265
-99.149494,68,8.360446
-99.319112,59,8.470502
-96.131828,57,8.574406
-98.980237,77,8.990848
-97.873152,60,9.101982
-98.263998,68,9.227894
-99.124588,68,9.357109
-99.263613,56,12.324383
-98.552453,89,12.483306
-97.014492,81,12.627676
-99.22436,67,12.747852
-99.07483,76,12.887601
-95.046503,90,13.432648
-97.201601,95,16.463937
-98.878937,103,16.640973
-98.776783,117,16.841615
-93.792285,110,17.030402
-93.341317,98,17.196787
-95.093774,120,20.735656
-97.276174,141,20.973869
-87.564576,166,21.246828
-88.25454,125,21.458792
-98.144224,75,24.431618
-97.528235,94,24.81915
-97.311077,108,25.009874
-97.698463,97,25.178659
-83.072696,109,25.370179
-95.502417,95,28.427425
-96.832994,87,28.579077
-97.463765,102,28.968836
-95.557943,113,29.169106
-96.621209,83,29.312636
-94.403957,134,32.392241
-96.883851,164,32.676047
-97.246899,114,32.868573
-97.539412,112,33.280223
-96.0475,143,36.333277
-89.707661,129,36.54387
-95.878847,137,36.766108
-92.308694,101,36.932829
-96.790567,115,40.187297
-96.181568,184,40.486212
-90.970067,168,40.759507
-76.455545,215,44.462367
-90.857899,241,44.843164
-92.89451,191,47.938087
-95.847769,261,49.419534
-94.631,339,52.749944
