#{"t_start": 1697117347.7094195, "env_id": "turbolander-2d-custom-v1"}
r,l,t
-98.194,53,0.279216
-98.835208,54,0.361184
-99.386503,49,0.437408
-99.465042,48,0.51169
-99.325113,61,0.60411
-98.943978,57,0.692459
-99.130967,56,0.779337
-99.465582,50,0.856241
-99.180689,58,0.945505
-99.428447,51,3.869055
-99.247174,54,3.952349
-98.841546,57,4.237813
-97.283239,52,4.318128
-98.9891,56,4.40411
-97.244862,50,4.479292
-99.301919,48,4.553126
-98.244779,61,4.646933
-98.918717,58,4.736451
-99.354274,61,7.670183
-99.323057,50,7.747183
-99.274394,57,7.832238
-99.182172,60,7.922753
-99.146544,59,8.221262
-96.918464,58,8.310896
-97.847684,56,8.395727
-99.229386,61,8.492568
-98.592623,60,8.585298
-99.028404,61,11.503367
-99.127327,82,11.628252
-99.267008,70,11.734082
-98.868715,63,11.829729
-99.183716,56,11.91291
-98.03847,72,12.281919
-91.519449,67,12.383022
-98.120161,71,15.322013
-92.765915,87,15.451926
-99.006428,92,15.58832
-95.89785,126,15.779078
-98.724762,112,15.946443
-96.172386,97,19.411599
-97.072866,109,19.57094
-95.08604,185,19.847372
-98.824073,97,19.991512
-98.182519,113,22.985662
-96.674594,114,23.343064
-97.567525,78,23.461791
-96.528346,83,23.586215
-96.196559,114,23.75876
-98.023503,95,26.723872
-87.109461,83,26.848255
-89.450536,86,26.975687
-94.095927,114,27.350211
-98.124772,85,27.477262
-91.6965,98,30.44353
-92.078061,102,30.596915
-97.133281,96,30.740756
-98.396164,96,30.883513
-97.934481,85,31.204633
-97.900036,115,31.375751
-96.747653,98,34.33379
-98.195454,96,34.478863
-96.769864,93,34.617589
-96.68292,93,34.75635
-95.854592,75,34.870664
-96.695778,85,38.025472
-94.494305,87,38.155976
-98.215135,77,38.27157
-97.656064,92,38.408332
-95.316912,87,38.542113
-94.466117,83,38.666999
-98.425501,79,41.600227
-98.192497,88,41.949062
-95.059567,86,42.077578
-98.236971,88,42.210613
