#{"t_start": 1698247367.4577677, "env_id": "turbolander-2d-custom-v1"}
r,l,t
-99.797116,47,0.318112
-99.984319,54,0.405445
-99.903794,51,0.485597
-99.821782,67,0.592342
-99.987148,55,0.711858
-99.982574,52,0.78631
-99.913393,80,0.901718
-99.965596,68,0.993842
-99.776656,55,1.067857
-99.98478,46,1.134342
-99.993183,69,1.230983
-99.983591,54,1.313757
-99.670671,64,1.396296
-99.888814,52,1.470944
-99.873161,60,1.558261
-99.656928,52,1.638639
-99.995222,62,1.736497
-99.981093,57,1.830699
-99.960629,70,1.931422
-99.705712,51,2.007747
-99.824029,56,2.093108
-99.97798,71,3.104322
-99.98953,55,3.823186
-99.989167,52,4.574611
-99.990297,56,5.387238
-99.856294,55,6.16557
-99.625842,66,7.058179
-99.791335,59,7.845165
-99.901425,81,8.891771
-99.973237,73,10.00059
-99.891413,55,10.691951
-99.882135,75,11.663158
-99.814377,75,12.839658
-99.878877,56,13.674271
-99.885687,53,14.400262
-99.981956,69,15.43085
-99.908042,52,16.355745
-99.890768,61,17.301922
-99.741776,56,18.143935
-99.664628,65,19.173376
-99.987818,58,20.000015
-99.634693,56,21.26181
-99.888857,49,22.071151
-99.816944,51,22.789546
-99.964386,56,23.670335
-99.961007,60,24.54402
-99.930951,85,25.872548
-99.765822,69,26.904861
-99.902349,57,27.610337
56.173155,161,29.977797
-99.923246,57,30.847064
106.331715,153,33.357053
-99.465761,87,34.612052
38.132971,150,36.707539
-99.959538,122,38.639833
-99.794355,123,41.662483
-99.970295,143,43.660777
-99.782645,113,45.480122
-99.649564,165,47.68054
-99.454252,182,50.233077
95.788991,102,51.819218
-99.433994,115,53.349613
46.838263,153,55.61605
55.436359,111,57.065881
-97.959076,187,60.346044
-99.931176,89,61.558501
381.110612,171,64.0082
69.635648,118,65.649766
-98.695665,88,67.030917
-99.203575,128,68.955977
-98.968461,140,71.17064
14.389159,89,72.372152
-99.920312,93,73.76911
37.649351,130,75.824634
-96.46476,155,78.714483
-99.758054,122,80.600599
-98.90254,112,82.271933
-99.956791,130,84.026636
113.331419,92,85.303384
-99.701455,152,87.999821
