#{"t_start": 1698763329.497248, "env_id": "turbolander-2d-custom-v1"}
r,l,t
-99.959331,57,0.293417
-99.63379,60,0.360505
-99.851476,51,0.415879
-99.97024,56,0.478226
-99.749327,57,0.542857
-99.966327,48,0.595025
-99.993056,47,0.650325
-99.967865,50,0.701916
-99.986073,50,0.758442
-99.809695,61,0.82536
-99.994205,60,0.89346
-99.989127,52,0.952327
-99.983001,51,1.004626
-99.971352,58,1.069014
-99.976056,52,1.126846
-99.908642,61,1.196751
-99.990887,51,1.252722
-99.995268,53,1.309504
-99.944261,62,1.379336
-99.992296,68,1.452327
-99.964723,57,1.514435
-99.983649,54,1.574809
-99.990581,50,2.102358
-99.909276,53,2.634188
-99.976866,55,3.169482
-99.853089,58,3.731341
-99.991177,56,4.281461
-99.981592,57,4.859473
-99.994683,54,5.413769
-99.741472,55,5.966384
-99.658738,53,6.496746
-99.853245,46,7.027434
-99.977594,67,7.739115
-99.787339,71,8.443175
-99.98655,59,9.030186
-99.799112,53,9.576956
-99.992079,76,10.372435
-99.984417,69,11.068995
-99.968851,78,11.854655
-99.975316,55,12.417079
-99.988132,70,13.182625
-99.981245,49,13.704746
-99.980868,71,14.4903
-99.984533,58,15.461034
-99.974646,58,16.075713
-99.983153,58,16.776222
-99.983053,58,17.468284
-99.993537,62,18.115473
-99.74017,57,18.725552
-99.838819,60,19.389362
-99.754785,60,20.043523
-99.802116,54,20.664431
-99.978926,53,21.218323
-99.974596,49,21.761162
-99.917985,63,22.417273
-99.990296,55,22.994481
-99.857677,66,23.694756
-99.921979,69,24.409478
-99.953942,59,25.028344
-99.983402,59,25.649255
-99.945711,61,26.318153
-99.984352,59,26.920556
-99.717311,84,27.781332
-99.978669,67,28.452015
-99.993121,66,29.444414
-99.701473,74,30.235454
-99.789396,64,30.955329
-99.987169,60,31.57678
-99.553678,70,32.360826
-99.956973,73,33.158761
-99.963135,96,34.17618
-99.539696,84,35.029069
-99.72898,69,35.738759
-99.985429,59,36.424726
-99.904403,91,37.444162
-99.981275,81,38.264052
-99.933445,82,39.081862
-99.972808,132,40.451267
-99.653682,78,41.242369
-99.756649,84,42.667902
-99.986088,97,43.655311
-99.965838,101,44.674152
-99.901187,83,45.504009
-99.41286,109,46.616654
-99.985471,112,47.757709
-99.23341,127,49.031075
-99.355794,125,50.444271
-99.776473,85,51.391267
-99.463755,110,52.52349
-99.743482,116,53.693587
-99.887862,177,55.532424
-99.722889,132,57.632238
-99.336223,172,59.487753
-99.906527,100,60.50357
-94.512127,158,62.152416
-99.067469,218,64.358886
-87.017202,121,65.60661
-95.406723,105,66.68587
-99.948808,86,67.575333
-93.29925,121,68.793267
-99.497404,122,70.599896
-89.767072,135,71.988144
-99.023783,156,73.558366
-89.513483,122,74.801442
-97.888448,170,76.601411
-91.669199,106,77.673566
-99.528511,96,78.647708
-93.371956,279,81.62648
-99.917514,120,83.672852
-93.139699,151,85.221992
-99.81439,187,87.131904
-96.179899,194,89.132914
-99.887684,141,90.585572
-91.750424,197,92.530076
-94.061203,108,93.601807
-99.220613,151,95.130629
-98.988356,125,97.178242
-99.846624,96,98.188823
-93.001981,163,99.809826
-98.945322,94,100.738427
-97.855378,137,102.148453
-99.20965,105,103.213841
-99.910263,156,104.757404
-98.162452,107,105.803929
-99.404174,106,106.879379
-99.87809,119,108.079287
-93.936667,106,109.212883
-98.733353,118,111.133385
-99.756426,149,112.653415
-98.803952,98,113.622032
-99.952355,120,114.812325
-99.859032,121,116.02141
-98.321744,130,117.365584
-98.456136,112,118.512275
-98.552496,101,119.533258
-99.746418,118,120.76253
-98.962238,105,121.809923
-99.406751,101,122.856705
-98.981101,96,124.552752
-99.836355,130,125.836365
-99.512056,104,126.863281
-99.704715,97,127.820652
-99.385807,105,128.898164
-99.287432,107,130.02969
-99.230096,99,131.017892
-97.530453,100,132.074735
-96.740333,135,133.421785
-98.778073,108,134.483745
-99.902259,189,136.446505
-98.816391,107,138.111609
-95.198523,106,139.168712
-97.790215,116,140.413807
-99.455465,90,141.4013
-98.185868,114,142.543773
-96.709339,116,143.697156
-99.273376,119,144.985067
-93.102764,102,146.026273
-99.800383,141,147.49623
-98.026727,115,148.645672
-97.951834,104,149.799434
-99.604805,94,151.509955
-97.823292,137,152.824637
-98.366232,117,154.013269
-97.580969,124,155.215268
-95.65675,246,157.579406
-99.894037,171,159.239781
-99.600203,281,161.950565
-99.600532,272,165.649057
-95.547981,211,167.628235
-97.092584,221,169.706427
-97.913233,198,171.715852
-99.415232,151,173.148561
-96.746729,210,175.101451
-99.806576,413,180.971168
3.159522,500,185.747561
0.688591,500,192.962078
2.589665,500,197.938042
0.152802,500,202.819597
0.307621,500,209.994985
0.619837,500,214.715235
0.152922,500,221.919919
3.286259,500,226.63956
5.874318,500,231.490023
2.694857,500,238.481875
1.595143,500,243.217452
2.336419,500,250.19107
-93.722926,360,253.5695
1.417771,500,258.25072
1.707796,500,265.186566
1.075075,500,269.9132
0.135909,500,274.652308
1.328839,500,281.679406
0.054408,500,286.439305
0.337841,500,294.21957
1.778749,500,299.375463
0.642554,500,304.48341
0.148823,500,311.928446
9.217621,500,317.018225
2.717754,500,324.66536
0.104399,500,329.803898
0.528656,500,334.854774
0.354917,500,342.267037
0.810598,500,347.293916
0.127856,500,354.925544
2.12756,500,359.92664
0.101906,500,365.039359
2.444235,500,372.747547
0.413105,500,377.422558
0.260845,500,384.509829
2.205996,500,389.131791
1.554977,500,393.720317
0.299446,500,400.673652
0.123237,500,405.287866
0.750088,500,412.425086
4.108344,500,417.003149
1.015863,500,421.625906
1.323486,500,428.554322
1.279269,500,433.175902
1.349586,500,440.137269
0.127276,500,444.860232
3.384904,500,449.481191
1.345733,500,456.419442
0.330818,500,460.997949
0.403771,500,468.000701
0.421081,500,472.784287
0.354265,500,477.426003
2.490232,500,484.46985
0.631931,500,489.043761
5.22223,500,495.955122
1.67998,500,500.819143
0.339274,500,505.514728
2.492457,500,512.471265
0.108486,500,517.082689
0.788414,500,524.017009
1.778332,500,528.686087
0.815078,500,533.501182
0.121139,500,540.712454
7.088483,500,545.420761
0.162602,500,552.55351
1.054261,500,557.213261
0.115638,500,561.889131
0.33128,500,568.869094
3.389701,500,573.453238
2.166878,500,580.337154
0.083837,500,584.946726
5.08014,500,589.517203
7.451696,500,596.493184
0.047789,500,601.314559
11.191085,500,608.358839
0.205813,500,613.045591
0.646614,500,617.675576
4.922084,500,624.741402
0.144643,500,629.393261
2.565644,500,636.357555
1.79662,500,640.995542
4.212038,500,645.611931
1.022249,500,652.913353
3.020468,500,657.571833
1.843595,500,664.63934
0.062836,500,669.259373
0.052154,500,673.906197
8.472864,500,681.014535
0.153918,500,685.781198
0.151737,500,692.825466
0.756001,500,697.485867
11.422843,500,702.172817
