#{"t_start": 1697134985.4727428, "env_id": "turbolander-2d-custom-v1"}
r,l,t
-89.320332,53,0.275739
-92.491931,54,0.359859
-86.909574,57,0.451507
-77.966595,48,0.526815
-85.946458,62,0.625016
-80.751737,52,0.707578
-89.343937,49,0.783124
-94.376139,48,0.85885
-83.370979,54,0.944917
-74.031679,53,2.185793
-85.420714,58,2.278512
-101.49261,59,2.584987
-80.446271,49,2.662212
-88.704617,60,2.756673
-82.37276,59,2.848356
-77.060801,59,2.941731
-76.070827,53,3.024889
-97.287533,50,3.103921
-93.798623,58,4.396302
-96.006225,52,4.474457
-88.669426,49,4.550291
-85.308915,62,4.645392
-71.728225,57,4.936921
-86.824206,55,5.022539
-95.042583,58,5.111747
-70.231212,74,5.225275
-97.478178,59,6.449441
-93.099461,66,6.551562
-75.552362,59,6.641721
-94.981781,63,6.738078
-77.352454,63,6.83495
-94.064537,55,6.91765
-96.980353,64,7.015826
-103.856162,66,7.334031
-92.934572,73,8.577308
-86.539294,53,8.656907
-88.601081,70,8.767437
-83.349991,54,8.849961
-88.832677,66,8.950741
-76.043392,62,9.045594
-98.328599,65,9.144872
-95.510397,68,9.248515
-87.226341,55,10.706472
-96.220981,54,10.791137
-81.123312,66,10.892923
-93.516315,51,10.972521
-96.424668,60,11.066177
-73.045733,63,11.163162
-82.041965,65,11.263268
-82.348643,68,11.368398
-74.828199,74,12.657885
-91.465988,61,12.750267
-76.74645,83,13.148507
-86.559236,76,13.266415
-96.218184,63,13.361121
-83.29888,73,13.473699
-86.204832,53,13.552769
-93.818199,78,13.672769
-81.691639,82,14.94384
-87.528664,65,15.044538
-79.309636,72,15.155419
-99.295316,93,15.59678
-93.127434,77,15.715917
-94.819981,77,15.834211
-73.319558,64,17.080445
-94.765886,68,17.184872
-84.127039,82,17.310168
-86.914516,66,17.41163
-66.988926,85,17.543132
-95.688804,68,17.969372
-79.401464,66,18.071064
-81.322347,84,19.345368
-79.80442,69,19.451661
-84.722812,96,19.600002
-87.57215,66,19.700273
-58.10749,88,19.83663
-64.177278,73,19.94902
-82.980521,68,20.054133
-62.27039,94,21.727556
-71.946925,103,21.883669
-86.036939,57,21.970618
-77.705394,76,22.086988
-97.101359,89,22.222494
-84.089705,80,22.345722
-68.466624,115,23.667323
-75.858237,82,24.257948
-66.24797,113,24.429536
-81.595943,94,24.57054
-66.041221,98,25.867142
-93.086558,96,26.013272
-92.612277,115,26.185657
-73.052651,153,26.792201
-63.14787,112,26.961004
-4.125251,200,28.39327
-66.79891,95,28.534476
-84.74208,142,29.033567
17.72596,151,30.393107
-61.976753,126,30.579983
-82.337697,100,30.730467
30.141122,123,30.913951
-70.451508,128,32.509354
-50.848927,114,32.679766
-26.612042,203,32.982863
-16.07348,99,33.128968
0.9079,191,34.747618
85.485762,108,34.910244
-38.309964,205,35.215776
65.137545,110,36.52209
50.830024,287,37.134881
96.316267,121,37.315145
-21.508869,186,38.739408
66.791434,97,38.886667
64.0184,97,39.03182
9.206185,95,39.353429
85.832758,132,40.697855
79.170701,93,40.837779
17.611273,207,41.153881
11.323253,101,41.307942
78.691018,160,42.867266
-4.319644,85,42.995014
93.201342,94,43.139256
-6.832962,88,43.275833
3.233734,120,44.607203
77.9036,82,44.730559
3.75706,99,45.064676
-24.564047,68,45.167242
-17.289013,70,45.273328
-8.997178,79,45.392305
83.015508,97,46.682353
76.041122,89,46.817553
90.54895,93,46.957145
-5.133488,78,47.250652
67.834321,86,47.380534
69.536165,100,47.531822
81.078324,80,48.796041
78.075483,89,48.930382
68.328679,72,49.040759
-26.389493,77,49.1562
76.240585,85,49.460477
85.065172,82,49.583632
69.198394,71,50.840828
71.745212,102,50.99542
116.143379,107,51.156738
91.191318,100,51.309434
-13.037925,87,51.440766
-19.593576,78,52.888598
86.166571,99,53.038898
60.0747,63,53.135291
80.943488,110,53.300413
85.962048,91,53.438284
-22.867261,69,53.543682
-32.747984,62,53.63823
-23.043851,73,54.895326
70.790064,80,55.188576
65.309156,76,55.303548
82.08164,70,55.40902
83.319566,93,55.548934
78.177923,89,55.685049
-15.682624,74,56.940768
90.739276,84,57.067152
