#{"t_start": 1697130617.7672844, "env_id": "turbolander-2d-custom-v1"}
r,l,t
-99.924584,56,0.291464
-99.971653,50,0.366476
-99.988479,64,0.471266
-99.98831,58,0.562625
-99.789429,57,0.649401
-99.99244,63,0.745123
-99.84017,54,0.829153
-99.993474,53,0.908504
-99.983146,52,2.156227
-99.980545,56,2.241439
-99.98774,56,2.328842
-99.993649,50,2.624291
-99.839921,52,2.704322
-99.97394,50,2.781211
-99.931516,53,2.862768
-99.954905,61,2.954035
-99.992952,56,3.040194
-99.974712,51,3.118566
-99.875554,58,4.355211
-99.96232,53,4.435669
-99.958754,65,4.535134
-99.824548,50,4.611401
-99.985232,59,4.908417
-99.7569,55,4.991331
-99.513125,66,5.092273
-99.810018,54,5.174782
-99.994078,63,6.413088
-99.68162,62,6.507017
-99.981706,69,6.611556
-99.846577,57,6.698049
-99.957804,65,6.796709
-99.92845,64,6.893011
-99.664965,61,7.210133
-99.962388,49,7.285292
-99.938986,59,8.527556
-99.988648,65,8.626641
-99.992801,55,8.709738
-99.974525,79,8.829407
-99.877936,59,8.92167
-99.524783,63,9.019865
-99.986335,57,9.107187
-99.659871,73,9.218113
-99.99282,58,10.705491
-99.993684,66,10.804938
-99.990458,64,10.901516
-99.981054,73,11.011564
-99.688976,66,11.112162
-99.967909,59,11.202085
-99.987247,68,11.305805
-99.889915,59,11.395403
-99.914905,69,12.637536
-99.849402,79,12.758654
-99.993767,59,13.107377
-99.974441,71,13.216222
-99.984074,67,13.31786
-99.835964,59,13.408366
-99.993855,50,13.48476
-99.983084,65,13.585923
-99.90546,62,14.835532
-99.954872,78,14.956569
-99.574504,62,15.051732
-99.980975,67,15.455844
-99.846143,74,15.568837
-99.688834,69,15.675806
-99.96783,70,15.783531
-99.816764,73,17.048774
-99.959181,81,17.17062
-99.984498,71,17.277156
-99.958512,59,17.365959
-99.924504,61,17.458005
-99.980444,58,17.543911
-99.634982,61,17.906126
-99.968526,74,19.160249
-99.673102,70,19.262797
-99.826193,94,19.401902
-99.991768,74,19.509891
-99.937935,92,19.643511
-99.858104,94,19.780415
-99.933714,85,21.319735
-99.797777,99,21.464942
-99.908689,85,21.588985
-99.981166,78,21.702646
-99.556339,89,21.831701
-99.912687,79,21.949685
-99.94656,78,23.180281
-99.610616,90,23.310388
-99.848332,104,23.789739
-99.855019,99,23.933232
-99.895635,99,24.076666
-99.983098,109,25.365132
-99.866593,97,25.504992
-99.873422,97,25.646416
-99.643809,96,26.081856
-99.805097,105,26.234597
-99.598537,113,27.531392
-99.458466,103,27.681782
-99.791386,95,27.819149
-99.631914,123,27.997148
-99.917115,124,28.415655
-99.726062,104,29.702047
-98.99678,179,29.962592
-98.491193,101,30.110477
-99.517397,119,30.281559
-99.737763,109,31.79107
-94.125046,101,31.936106
-97.543518,179,32.191699
-99.826226,90,32.319638
