#{"t_start": 1697457775.531848, "env_id": "turbolander-2d-custom-v1"}
r,l,t
877.947782,84,0.333749
722.599035,82,0.457502
713.628959,92,0.59478
764.344143,84,0.721286
873.239443,102,0.876148
714.694678,92,2.244389
820.548657,93,2.933231
-125.0,500,4.85314
595.698352,112,5.019725
811.026454,80,5.490849
816.019831,78,5.605119
792.390925,94,5.746017
900.025876,97,7.047714
798.019888,113,7.213394
931.565021,104,7.369791
831.050835,114,7.869616
792.19228,163,9.27437
851.08477,99,9.424993
810.6629,129,9.617488
760.587836,93,9.754353
783.756539,75,9.86681
861.021343,116,11.674478
823.510067,134,11.874622
834.567086,93,12.012448
784.429385,96,12.157546
716.240314,92,13.467312
751.944453,85,13.596752
851.172997,88,14.204679
816.600881,82,14.338902
840.634286,134,14.540676
828.640687,111,15.870409
873.390929,100,16.01768
815.776472,124,16.20218
877.89278,99,16.686352
912.35818,83,16.809176
849.741004,83,16.932118
896.568185,85,18.211058
817.051396,140,18.421655
-125.0,500,20.800054
889.463066,89,20.932757
959.521435,80,21.051574
856.689451,82,21.173949
803.381544,96,22.811268
872.977976,88,22.94223
788.538161,83,23.066605
830.715756,95,23.208768
821.624448,97,23.352685
769.283696,132,24.706816
946.781213,79,25.172162
-125.0,500,27.097393
-150.75,203,27.906288
855.801889,94,28.049047
792.755632,135,29.452458
835.658146,76,29.568687
815.32915,98,29.718341
762.008074,96,29.862897
-125.0,500,32.158506
811.423526,119,32.33926
816.677245,102,34.232553
754.576403,75,34.342741
862.01648,80,34.460057
872.984,94,34.59936
-125.0,500,36.894373
814.018499,107,37.050056
775.839071,98,38.45091
880.739681,91,38.63509
-125.0,500,40.975824
811.416958,136,41.198715
807.530381,96,41.379731
-126.5,106,42.000704
-125.0,500,44.347198
824.199588,147,46.603797
800.405038,78,46.781156
879.925185,123,47.058021
856.101725,92,47.225717
830.48977,79,47.368887
823.844164,100,48.717495
880.564162,87,49.771483
913.15213,79,49.906992
766.74153,81,50.030108
828.175648,100,50.180893
967.977715,80,50.302881
776.891603,90,51.795452
957.362364,79,51.939827
865.38869,86,52.45856
707.791818,110,52.62569
795.438291,80,52.746186
808.637315,100,54.23371
760.61659,87,54.396195
855.689307,91,54.540447
771.743839,104,54.697248
907.397658,89,55.336362
828.967604,94,56.89089
802.446776,87,57.023412
759.864241,81,57.144012
848.233018,88,57.275029
822.232905,134,57.476234
857.933524,96,57.619365
733.843814,120,59.681893
909.42282,81,59.804654
920.403041,85,59.931747
770.669913,100,60.082519
779.22023,80,60.20178
861.966495,107,61.863716
774.661095,73,62.463402
831.06349,100,62.613599
797.64429,110,62.809484
821.862318,113,63.039213
803.979771,91,64.581097
760.473129,419,66.052338
831.246246,83,67.424499
790.066617,133,67.721247
827.678891,210,68.67723
945.182903,82,68.805815
853.714379,120,70.525569
714.345388,89,70.728148
948.236723,81,70.913202
787.832334,105,71.153464
918.080614,82,71.338492
-127.25,109,73.229783
805.17133,86,73.425124
892.654552,88,73.628412
844.899661,90,73.835354
894.25029,91,73.983392
-138.0,152,75.66369
799.91989,101,76.441732
830.601472,168,76.705438
810.900405,89,76.888634
898.292061,88,78.984439
864.098735,93,79.160783
839.035984,187,79.966637
832.553891,118,80.175588
788.605125,98,81.711719
-125.0,500,84.417445
929.61481,89,84.551202
836.274013,97,84.693851
810.806897,106,84.878074
770.56142,88,85.045676
856.148751,99,85.227636
830.230811,85,87.27873
824.686305,94,87.455418
845.240344,133,87.702467
822.429505,100,87.890035
850.220958,95,89.50101
817.012857,74,89.676178
-125.0,500,92.675125
785.843683,80,92.842867
805.553727,98,93.575125
801.184952,74,93.730902
722.67099,87,93.867706
770.752895,82,93.996787
824.457501,92,95.973338
857.069503,80,96.13434
787.124739,82,96.334001
780.07086,88,96.582474
833.195664,87,97.325559
896.488436,88,98.915357
799.822669,78,99.089798
797.415133,78,99.215953
789.37073,76,99.333424
811.028615,76,99.450905
860.409035,90,99.591445
817.095406,98,101.503872
760.390129,118,101.692225
832.724549,86,101.82842
879.176107,78,101.948995
858.479561,99,102.104293
883.463318,85,102.250142
778.081104,81,103.874202
776.502935,92,104.357906
795.005143,107,104.526529
798.261665,112,104.752323
873.879152,92,104.96141
881.099169,86,106.526057
-125.0,500,109.11955
848.523814,96,109.269532
843.819329,85,109.405293
910.015047,80,109.530393
788.206891,246,112.220423
848.571143,89,112.397499
894.336949,72,112.540271
882.994373,73,112.688668
791.125673,94,112.870789
862.141745,84,113.036661
774.045529,79,115.138008
766.979816,176,115.539611
824.040771,100,115.754071
836.945198,71,115.8664
872.165709,82,115.997032
801.213853,97,117.504289
784.217135,92,118.339583
811.340347,107,118.593683
818.863694,87,118.750099
769.225487,92,118.927779
743.559137,95,121.205374
848.036836,108,121.48509
795.452467,83,121.750802
928.483983,80,122.407184
854.548222,92,122.563901
815.302627,95,124.884446
847.657102,83,125.159014
918.247101,82,125.425397
813.422291,105,125.755216
787.798304,98,125.919945
841.20269,82,126.39562
800.965809,109,128.200616
825.113211,105,128.414386
834.737011,118,128.607102
880.832341,92,128.752055
773.394532,85,128.884089
825.0154,95,131.00158
-124.5,98,131.162965
855.112605,84,131.302779
793.691585,98,131.464836
-125.0,500,134.347602
839.76296,114,134.567663
764.22516,89,136.31795
840.683717,91,136.45406
860.306878,110,136.640095
826.648218,113,137.425546
818.760334,164,139.218433
777.151347,90,139.387142
797.17951,110,139.593347
732.75043,96,139.771429
850.406334,121,140.613988
-125.75,103,142.212097
953.359256,99,142.398978
822.069453,106,142.58103
954.541853,75,142.692445
806.038223,105,142.851138
798.061254,99,145.186916
882.232982,100,145.342364
743.709821,112,145.514933
898.035453,89,145.659187
811.529333,89,145.79493
842.766499,113,147.69444
846.970377,95,147.835725
886.818034,87,148.285387
857.05532,110,148.450464
922.959894,84,148.618058
796.849659,101,148.806988
805.075776,170,150.805123
869.651234,104,151.488277
869.616887,105,151.683204
775.614349,83,151.855206
891.763205,103,153.682002
800.120778,92,153.856802
856.528487,125,154.091083
809.648138,94,154.635648
863.274979,91,154.793348
782.803432,92,156.18922
801.58801,183,156.610781
756.686247,83,156.799622
799.538036,109,157.01423
805.879558,99,158.752223
754.831466,88,158.920585
896.216995,90,159.086952
784.618381,154,159.359155
862.227506,96,159.501613
879.748775,91,160.927035
803.863047,94,161.654161
670.765791,394,163.586809
751.188436,81,163.737475
-125.0,500,166.270033
924.09177,78,166.387417
786.697064,114,166.558582
838.866572,83,167.035259
829.413189,91,167.212556
831.54095,94,168.710302
593.018144,92,168.847112
-125.0,500,171.336186
852.334671,89,171.467035
851.179956,75,171.589628
-125.0,500,174.221639
780.838525,105,174.415356
947.545294,87,175.923146
634.157053,92,176.065131
879.490801,108,176.227875
-125.0,500,179.04678
831.217581,105,179.28024
-125.0,500,182.519982
820.444154,132,182.773955
794.266155,108,184.670245
844.46714,120,184.897256
882.034928,91,185.061703
770.544886,104,185.222584
816.079201,102,185.392
886.929562,89,186.891525
863.370371,73,187.408004
785.829136,114,187.577382
870.062067,92,187.716372
872.130684,83,187.839457
789.878149,110,189.621055
-125.0,500,192.25764
880.47669,97,192.404593
794.098918,98,192.551943
833.197638,98,192.699659
955.545221,76,193.468827
918.535924,87,194.900654
881.692742,81,195.021416
718.186317,107,195.180927
748.010394,79,195.329384
907.833011,82,195.516603
794.223856,77,195.692036
824.783794,93,197.595594
958.73068,80,197.746307
911.258655,76,197.887079
872.068803,83,198.064318
826.552343,212,198.466215
823.355054,116,199.951199
940.753197,77,200.657223
790.891678,172,200.979877
942.631684,73,201.106534
813.573512,114,202.546229
807.951206,145,202.879831
790.05605,144,203.673795
785.765008,114,203.843253
853.390898,80,205.308481
881.366605,89,205.479803
888.395751,76,205.618527
828.857551,101,205.773079
613.557912,92,205.912897
884.818621,74,206.32889
840.856884,81,207.873934
885.547277,74,207.986337
945.744668,75,208.101943
803.180333,102,208.259936
826.901996,104,208.42013
934.125267,73,208.529713
789.040951,87,210.71671
779.925787,93,210.858132
808.541641,87,210.997344
924.740735,73,211.13659
774.754593,99,211.329269
796.663138,96,211.516136
794.34274,106,213.055138
849.139856,84,213.716092
807.546766,125,213.950969
839.752588,137,214.211934
-125.0,500,216.94633
647.976494,104,218.928571
743.911926,76,219.105477
803.685096,91,219.315748
769.626922,104,219.502631
764.830802,94,219.922518
790.081209,77,220.040284
804.454553,117,222.157515
818.211284,99,222.378063
942.964657,74,222.491521
836.141266,110,222.657297
614.179053,88,222.791409
866.10402,81,224.770091
840.968078,73,224.879716
812.596574,92,225.019711
920.182547,75,225.135825
833.079923,91,225.273874
