#{"t_start": 1699018623.0461981, "env_id": "turbolander-2d-custom-v1"}
r,l,t
-95.747646,50,2.387975
-96.021665,96,5.174609
-77.871662,61,6.901912
-106.266677,47,8.198721
-112.808098,55,9.85489
-105.058284,49,11.438736
-103.806948,82,14.11563
-87.822788,53,15.564847
-115.161037,52,18.304566
-167.037982,95,24.350258
-99.684808,54,26.004865
-87.97947,68,28.659018
-90.927922,53,30.263315
-95.095672,59,32.453043
-90.992452,82,35.702384
-94.629884,61,38.91007
-101.193236,55,40.491997
-109.914391,62,42.38541
-73.639519,78,45.201033
-131.091124,64,50.516136
-110.433937,58,53.200967
-122.180991,94,57.054411
-91.331425,57,59.569158
-102.837383,55,62.931525
-96.604881,56,64.645466
-94.355438,81,67.4524
-131.61387,74,70.187123
-108.415848,66,72.448645
-85.528278,97,78.395485
-88.533326,52,80.586599
-114.186026,52,84.680737
-142.398077,81,87.630526
-125.34159,58,90.435533
-98.592888,65,92.497425
-114.887948,70,95.212353
-118.509233,70,98.391229
-104.456403,62,100.760686
-49.456124,86,108.02013
-111.707545,116,113.491673
-127.88145,83,117.306127
-131.378244,84,121.255986
-67.881686,66,124.956028
-94.707663,60,127.1636
-153.216969,144,134.65378
-159.473675,87,142.050372
-100.424176,71,144.943243
-109.478976,52,146.798273
-89.134031,69,149.678317
-114.556699,73,152.702424
-86.416174,81,156.724204
-95.86666,59,161.00969
-87.870907,51,163.046911
-80.708583,76,167.832681
-103.7666,77,173.171663
-90.392937,61,175.185453
-125.026714,63,177.873973
-97.677925,89,182.446204
-100.90536,60,187.021457
-135.280995,97,191.821398
-69.770152,78,195.502214
-94.956231,53,197.890371
-92.585093,74,201.597739
-86.077657,67,207.618017
-104.511089,66,210.667436
-99.107373,48,213.83232
-82.323017,71,216.508585
-72.332277,78,219.287501
-114.963826,63,222.208409
-109.507084,65,225.076358
-196.504948,124,230.405716
-93.473324,79,233.714022
-71.126515,163,246.183491
-158.61603,89,249.448292
-105.705058,62,251.524152
-126.397414,92,255.388806
-77.394147,65,257.973107
-77.355067,75,263.462297
-104.936272,53,265.709691
-62.043127,86,272.385241
-88.445375,62,275.611384
-128.10523,69,278.405976
-71.632768,107,282.933525
-85.496528,74,285.842179
-101.789718,71,290.802897
-97.643227,65,293.254457
-96.747491,64,295.598275
-112.511949,63,300.612549
-119.901292,86,303.780269
-84.061208,68,306.330212
-79.341661,63,308.441909
-112.218034,75,312.818413
-24.88,93,315.848032
-97.378319,58,317.958215
-92.919806,68,320.610075
-67.492096,69,324.047502
-107.378891,67,331.275936
-93.433337,65,334.533766
-38.478013,74,347.546264
-132.802501,106,353.007244
-89.762951,80,357.234186
-98.925682,79,361.32062
-74.191376,65,364.635659
-94.86563,77,368.144538
-77.116464,69,377.359958
-109.55195,86,380.720735
-97.813049,69,384.361867
-98.102296,74,387.798886
-103.218791,61,390.96934
-87.794559,76,395.135286
-110.69679,75,398.26265
-124.081069,92,412.663377
-139.462747,73,415.354343
-78.969888,65,420.676692
-80.734152,104,426.874972
-110.403097,65,430.651134
-84.983687,135,435.943717
-113.038827,177,445.00389
-81.472666,73,448.133264
-107.695163,67,454.197509
-95.358526,69,456.9395
-64.514853,121,461.495788
-113.417066,82,466.824253
-119.228782,55,469.664669
-123.613766,151,475.430623
-102.649282,104,482.113764
-167.507147,133,488.82851
-61.092385,87,492.431032
-104.948975,72,495.057359
-91.100318,70,497.531403
-75.979904,85,501.135677
-75.999996,136,506.805041
-95.422914,155,517.518657
-31.154696,115,522.255746
-86.20365,67,524.908733
-94.29103,53,526.819329
-143.846812,142,534.61685
-132.060984,78,537.458766
-118.650219,164,547.707247
-90.599993,128,552.784477
-117.25817,104,556.830376
-150.1349,81,561.561828
-3.660623,132,566.600729
-85.77401,53,568.825577
-101.307668,142,578.38302
-30.063068,97,583.112931
-80.656455,88,588.689409
-133.146343,88,592.567566
-96.284507,71,595.451944
-91.989426,72,598.29037
-113.135166,74,604.15826
-87.62347,89,607.458415
-118.449075,89,612.291241
-79.765458,71,615.769451
-82.610908,111,621.681613
-94.566259,184,632.044038
-113.050664,85,639.130963
-80.380503,54,641.132337
-128.278682,80,644.62629
-110.792222,112,649.060515
-105.3541,76,652.072082
-36.874887,96,655.552329
17.472499,154,664.789637
-10.453535,98,673.914437
-94.878072,112,678.186201
-109.908257,111,682.60475
-138.494799,165,690.547249
-113.939498,79,694.46524
-113.903414,186,705.685205
-73.888349,97,709.805121
-38.937512,67,712.279292
-57.704824,84,717.70986
-142.677868,240,730.695546
-128.662255,159,744.04377
-117.614136,77,749.108362
-103.761744,141,755.997094
-115.024924,243,766.152288
-4.372992,92,773.210982
-107.084518,67,776.214254
1.580986,71,779.052388
-100.925487,211,790.295138
-6.346178,75,794.687387
-114.714906,102,802.44101
-17.238714,75,809.058667
-78.323519,69,813.181856
-88.109384,135,820.961997
-119.06719,109,826.467107
-132.86946,184,838.174555
-110.140416,80,842.726255
-65.493935,87,850.34378
-191.082413,85,854.964761
-73.344843,149,862.024189
2.810448,148,868.425067
-5.996737,65,871.130162
-76.694635,120,877.83836
-73.097831,75,885.657202
-126.448405,154,897.180515
-98.757165,129,903.773163
-22.230655,70,907.029063
-51.434222,71,910.352504
-47.141083,142,922.582836
-137.296316,157,929.319374
-94.90172,105,933.837351
-47.610443,64,936.284995
-26.51959,60,938.597121
-59.290544,106,942.789843
-125.574928,106,949.034003
-143.357402,100,954.875424
-117.703109,106,959.195937
-118.492407,179,967.172042
-0.102609,74,971.552464
-102.931282,86,975.625883
-87.308517,98,979.442194
-32.357037,83,983.514339
-1.209276,86,988.143227
-117.369158,79,992.175706
-27.648508,131,1000.627279
-95.588357,82,1003.995049
-36.580092,82,1007.981692
16.335653,58,1010.089455
-82.288198,84,1015.333232
0.732509,66,1018.168066
1.605924,157,1026.98257
-53.558098,75,1029.733276
-76.19491,127,1035.742793
-33.676532,67,1038.709949
-114.616468,66,1041.543654
-92.800936,75,1047.320699
-54.533298,76,1050.133103
-36.705721,61,1052.35131
-66.298323,102,1056.418787
-14.218734,128,1061.062267
20.620314,108,1067.992476
-10.651091,66,1070.541199
13.007254,65,1076.262335
-86.653814,120,1082.187021
-109.04309,97,1085.96171
-80.479514,113,1090.476989
-7.725778,60,1094.22549
-33.415353,65,1097.903002
38.813139,125,1103.954739
-72.330186,112,1111.210521
-22.180428,68,1114.408449
