,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_sde_sample_freq,params_vf_coef,state
23,23,3279.2098068000005,2023-10-11 20:36:13.169788,2023-10-11 20:42:06.428803,0 days 00:05:53.259015,relu,256,0.4,0.00016140015720478472,0.9,0.999,0.0008402607642603583,-1.3906748917939185,0.6,10,512,medium,256,0.9484726979347277,COMPLETE
24,24,3215.6428724,2023-10-11 20:42:06.430082,2023-10-11 20:46:43.434494,0 days 00:04:37.004412,relu,512,0.4,0.0004065489073899851,0.9,0.999,0.005111605396193687,-3.13497970997501,0.6,10,2048,medium,256,0.9761396731722942,COMPLETE
25,25,260.99684379999997,2023-10-11 20:46:43.435732,2023-10-11 20:48:26.406271,0 days 00:01:42.970539,relu,512,0.4,4.647094971431792e-05,0.9,0.999,0.0004105993471948149,-3.480488975074219,0.6,10,2048,medium,8,0.765723458811903,PRUNED
26,26,470.8798376,2023-10-11 20:48:26.407101,2023-10-11 20:50:07.082017,0 days 00:01:40.674916,relu,512,0.4,0.0007537684080615566,1.0,0.95,0.00023796606782532372,-3.161485571028671,0.5,10,2048,medium,256,0.845243617895224,PRUNED
27,27,2878.0400004000003,2023-10-11 20:50:07.082929,2023-10-11 20:57:08.999795,0 days 00:07:01.916866,relu,128,0.4,1.0044887477261756e-05,0.9,0.999,0.003434714232036859,-0.7747481179282203,0.8,10,512,small,256,0.69566924824911,COMPLETE
28,28,81.26134140000002,2023-10-11 20:57:09.000976,2023-10-11 20:58:28.064033,0 days 00:01:19.063057,relu,512,0.3,0.004560663386814413,0.9,0.99,0.07367476711468687,-2.2964431353239543,0.6,10,2048,medium,256,0.9095635514108164,PRUNED
29,29,255.61117759999996,2023-10-11 20:58:28.064909,2023-10-11 21:14:32.794039,0 days 00:16:04.729130,relu,32,0.2,8.103341723317014e-07,0.8,0.9999,0.0001490650416711923,-2.3757192501769655,0.3,20,1024,small,-1,0.8719087269074357,PRUNED
30,30,232.0021172,2023-10-11 21:07:19.409482,2023-10-11 21:08:10.559840,0 days 00:00:51.150358,relu,256,0.4,5.931083316063575e-05,0.98,0.999,0.001686103985205195,-2.151291264137842,0.6,1,256,medium,256,0.8481880706210877,PRUNED
31,31,263.14700000000005,2023-10-11 21:08:10.560581,2023-10-11 21:09:04.236059,0 days 00:00:53.675478,relu,64,0.2,1.1692115077513547e-08,0.8,0.9999,2.654090544413677e-05,-0.589169326428434,0.3,1,1024,small,8,0.6892211637522623,PRUNED
32,32,204.32975800000003,2023-10-11 21:09:04.236730,2023-10-11 21:18:55.215247,0 days 00:09:50.978517,relu,32,0.4,0.009068626894657993,0.9,0.999,0.010188836541727603,-2.2128186277648325,0.3,10,2048,medium,256,0.7231369465587667,PRUNED
33,33,337.5315486,2023-10-11 21:14:32.794711,2023-10-11 21:15:52.662482,0 days 00:01:19.867771,relu,512,0.4,0.00014556546589158758,0.95,0.999,0.005019179092894544,-2.9311598909618626,0.7,10,2048,medium,256,0.9669179481673937,PRUNED
34,34,1643.9796916,2023-10-11 21:15:52.663389,2023-10-11 21:23:20.392920,0 days 00:07:27.729531,relu,128,0.4,8.482148240959485e-05,0.9,0.999,0.002701274705127799,0.9392670274025421,0.8,10,1024,small,256,0.7663288184298506,COMPLETE
35,35,2273.665442,2023-10-11 21:18:55.216109,2023-10-11 21:51:14.783786,0 days 00:32:19.567677,relu,256,0.2,1.5150446729725453e-05,0.9,0.999,0.0020193827654894944,-1.9493239021846769,2.0,10,32,medium,256,0.8655529359813552,COMPLETE
36,36,917.5010886,2023-10-11 21:23:20.394159,2023-10-11 21:29:33.327507,0 days 00:06:12.933348,relu,256,0.4,0.0009143362437061421,0.9,0.999,0.004806288482560961,-0.36490833783326315,2.0,10,512,medium,256,0.8703605743818834,COMPLETE
37,37,374.56954779999995,2023-10-11 21:29:33.328789,2023-10-11 21:50:28.395329,0 days 00:20:55.066540,relu,8,0.2,3.116777223234848e-07,0.8,0.98,5.962499061274204e-05,-0.7737483453634053,2.0,10,1024,small,-1,0.8153574085960135,PRUNED
38,38,259.32928400000003,2023-10-11 21:50:28.396008,2023-10-11 22:02:08.498477,0 days 00:11:40.102469,relu,16,0.2,5.72910085566693e-08,0.8,0.9999,2.0176129352872514e-05,-0.5584809877283797,1.0,10,1024,small,-1,0.8103369767633647,PRUNED
39,39,1001.013035,2023-10-11 21:51:14.784998,2023-10-11 21:53:32.794961,0 days 00:02:18.009963,relu,512,0.4,0.0017027304469427581,0.9,0.9,0.0002196763130848336,-3.6168305784866446,0.6,10,256,medium,256,0.9855810994063413,PRUNED
40,40,1408.3793644000002,2023-10-11 21:53:32.795824,2023-10-11 22:58:40.820487,0 days 01:05:08.024663,relu,16,0.4,0.0052415776287903495,0.9,0.999,0.002673096451527147,-3.654788863277633,0.6,10,512,medium,128,0.9317887964949809,COMPLETE
41,41,244.48906440000002,2023-10-11 22:02:08.499185,2023-10-11 22:03:27.014886,0 days 00:01:18.515701,relu,256,0.2,6.891199807484393e-08,0.8,0.9999,0.00021819328458132556,-0.9151159085086006,0.3,10,1024,small,128,0.8191727676419907,PRUNED
42,42,3704.9407754,2023-10-11 22:03:27.015787,2023-10-11 22:10:29.356080,0 days 00:07:02.340293,relu,128,0.4,4.481218636014261e-07,0.9,0.999,0.002036294186783434,0.20488744395870206,0.6,10,512,small,256,0.6120137329550599,COMPLETE
43,43,567.8645464,2023-10-11 22:10:29.357249,2023-10-11 22:13:09.918268,0 days 00:02:40.561019,relu,128,0.4,1.1674214700275984e-06,0.9,0.9,0.0003303896352217123,-0.35005776107967,0.6,10,512,small,256,0.6510458630467266,PRUNED
44,44,1146.64597,2023-10-11 22:13:09.918961,2023-10-11 22:17:44.368894,0 days 00:04:34.449933,relu,128,0.4,2.1300296828189755e-07,0.92,0.999,0.009749799734067621,-0.0358748998919336,5.0,5,512,small,256,0.6798048178258527,COMPLETE
45,45,410.9062774,2023-10-11 22:17:44.370042,2023-10-11 22:42:16.163141,0 days 00:24:31.793099,relu,8,0.2,3.636817826930763e-07,0.8,0.9999,2.3447494605795747e-05,-0.9255976494395411,0.3,10,2048,medium,-1,0.7312684458879322,PRUNED
46,46,425.9587702,2023-10-11 22:42:16.164042,2023-10-11 22:43:59.946478,0 days 00:01:43.782436,relu,256,0.4,0.0005502932246754027,0.9,0.9,0.005749241950692818,-1.493680106665377,0.6,10,2048,medium,256,0.941634698534525,PRUNED
47,47,398.90346960000005,2023-10-11 22:43:59.947299,2023-10-11 22:45:19.220355,0 days 00:01:19.273056,relu,512,0.4,0.00033081396293284734,0.9,0.999,0.08347696328849885,-2.727890620038724,0.6,10,2048,medium,256,0.8724137598917716,PRUNED
48,48,211.2744604,2023-10-11 22:45:19.221307,2023-10-11 22:47:18.932246,0 days 00:01:59.710939,tanh,128,0.4,1.1228239968897643e-07,0.9,0.999,0.05693478721197864,-0.05427910955650084,0.6,10,2048,small,256,0.6443582002286019,PRUNED
49,49,864.1078131999999,2023-10-11 22:47:18.933116,2023-10-11 22:50:02.303297,0 days 00:02:43.370181,relu,128,0.4,1.574066351069662e-07,1.0,0.999,0.015535993400217996,0.9268546277903809,1.0,10,512,small,256,0.4961476425881729,PRUNED
50,50,299.0378866,2023-10-11 22:50:02.303994,2023-10-11 22:52:33.502038,0 days 00:02:31.198044,relu,8,0.2,1.07874118055176e-05,0.8,0.9999,0.0003953557323390824,-0.19178751595127141,0.3,1,1024,small,-1,0.9069204835785083,PRUNED
51,51,2309.3591062,2023-10-11 22:52:33.502921,2023-10-11 23:04:52.738909,0 days 00:12:19.235988,relu,128,0.4,6.967978615903587e-07,0.9,0.999,0.0035702133481482407,-0.3912853006149749,0.6,20,512,small,256,0.9564145151957776,COMPLETE
52,52,1921.6097204000005,2023-10-11 22:58:40.821761,2023-10-12 00:45:09.382118,0 days 01:46:28.560357,relu,8,0.3,3.838564594571628e-05,0.9,0.999,4.6075639883274204e-05,0.6238033941631536,0.6,10,256,medium,256,0.6890033194897129,COMPLETE
53,53,223.2550678,2023-10-11 23:04:52.740118,2023-10-11 23:07:00.365198,0 days 00:02:07.625080,relu,128,0.4,1.4338727221831299e-06,0.9,0.995,0.024365714008822835,-0.7153082773449344,0.8,10,2048,small,256,0.5432958970218579,PRUNED
54,54,2602.784023,2023-10-11 23:07:00.366101,2023-10-11 23:14:26.932065,0 days 00:07:26.565964,relu,128,0.3,2.8621216100264224e-07,0.9,0.999,0.0013416977312994684,0.2501692415770487,0.5,10,512,small,256,0.46581075992458637,COMPLETE
55,55,418.6532448000001,2023-10-11 23:14:26.933324,2023-10-11 23:16:09.901023,0 days 00:01:42.967699,relu,256,0.4,1.9169196497061754e-06,0.99,0.999,0.0008124870652714796,-2.078216998562021,0.6,10,512,medium,256,0.7315888798491164,PRUNED
56,56,292.0839708,2023-10-11 23:16:09.901780,2023-10-11 23:17:14.090646,0 days 00:01:04.188866,tanh,512,0.2,2.29758247649249e-07,0.8,0.9999,6.285416353245379e-05,-1.4194446509448353,0.3,10,1024,small,-1,0.9951808074986956,PRUNED
57,57,2223.6778174,2023-10-11 23:17:14.091413,2023-10-11 23:24:37.523724,0 days 00:07:23.432311,relu,128,0.4,7.247950588073439e-07,0.99,0.999,0.002665563812120071,-0.3446099963049465,0.8,10,512,small,128,0.5074861100542273,COMPLETE
58,58,882.1462879999999,2023-10-11 23:24:37.524709,2023-10-11 23:47:07.603981,0 days 00:22:30.079272,relu,8,0.2,3.6779160987435335e-08,0.8,0.9999,0.0023953734702903524,0.8771112169988347,0.3,10,32,small,-1,0.8274402672526051,PRUNED
59,59,583.4506348000001,2023-10-11 23:47:07.604700,2023-10-11 23:49:14.560374,0 days 00:02:06.955674,relu,128,0.4,0.0005180572489678287,0.9,0.95,0.00304265253236231,-1.1025749495905455,0.8,10,512,small,32,0.42644925472847317,PRUNED
60,60,476.1164092,2023-10-11 23:49:14.561052,2023-10-11 23:50:16.927822,0 days 00:01:02.366770,relu,512,0.2,0.00018736347282299865,0.9,0.999,0.004412789698615512,-3.499695667913833,0.8,5,2048,medium,256,0.9389377558478231,PRUNED
61,61,191.9710988,2023-10-11 23:50:16.928601,2023-10-11 23:51:07.424319,0 days 00:00:50.495718,relu,256,0.3,0.0009262682626278835,0.9,0.999,4.8301747958678755e-05,-1.3766551406712169,0.6,1,512,medium,256,0.9510347840234371,PRUNED
62,62,2135.0923238,2023-10-11 23:51:07.425303,2023-10-11 23:58:24.522488,0 days 00:07:17.097185,relu,128,0.3,2.4939001828933577e-08,0.9,0.999,0.00516811905230109,-0.8596391289339271,0.5,10,512,small,64,0.63831718882461,COMPLETE
63,63,2529.1898415999995,2023-10-11 23:58:24.523707,2023-10-12 00:04:29.932083,0 days 00:06:05.408376,relu,256,0.4,6.436523814458223e-05,0.9,0.999,0.00915358748063442,-1.2286601599573417,0.6,10,512,medium,32,0.8631755306832496,COMPLETE
64,64,640.0012924,2023-10-12 00:04:29.933398,2023-10-12 00:06:10.521048,0 days 00:01:40.587650,tanh,256,0.4,3.581696301904989e-05,0.9,0.995,0.00027187213057626826,-1.4670732702889504,0.6,10,512,medium,256,0.8444104833588171,PRUNED
65,65,341.88833839999995,2023-10-12 00:06:10.521937,2023-10-12 00:26:54.368872,0 days 00:20:43.846935,tanh,128,0.3,3.5641872160888497e-08,0.9,0.999,0.003566972065370803,0.0732671368111637,0.5,10,8,small,256,0.23996110580325225,PRUNED
66,66,934.4337014,2023-10-12 00:26:54.369575,2023-10-12 00:29:02.227186,0 days 00:02:07.857611,relu,128,0.1,1.1177231275810018e-06,0.8,0.999,0.0005659389516211869,-0.36543268521355277,0.6,10,256,small,256,0.7105676605357828,PRUNED
67,67,293.7223594,2023-10-12 00:29:02.227877,2023-10-12 00:33:10.786593,0 days 00:04:08.558716,relu,64,0.2,0.0015778211846155694,0.9,0.999,0.00011582633168813468,-1.629384131084596,0.6,10,256,medium,256,0.9754471679387503,PRUNED
68,68,1970.8039772,2023-10-12 00:33:10.787565,2023-10-12 00:40:30.199192,0 days 00:07:19.411627,relu,128,0.3,3.054632686215491e-05,0.9,0.999,0.0037048356940734533,0.2691453094226677,5.0,10,512,small,256,0.5181639518742017,COMPLETE
69,69,302.1609518,2023-10-12 00:40:30.200440,2023-10-12 01:01:00.363204,0 days 00:20:30.162764,relu,8,0.2,4.1559914313659805e-06,1.0,0.9999,0.00015072339713242437,-1.0814705123234138,0.3,10,64,small,-1,0.9487604239643445,PRUNED
70,70,167.5108516,2023-10-12 00:45:09.383349,2023-10-12 00:47:19.300728,0 days 00:02:09.917379,relu,128,0.4,5.9998568415959524e-06,0.9,0.999,0.09543423612285515,-0.5598213504973711,0.3,10,512,small,32,0.6924154830084868,PRUNED
71,71,310.8339766,2023-10-12 00:47:19.301420,2023-10-12 00:55:30.098934,0 days 00:08:10.797514,relu,128,0.3,6.907804433897214e-07,1.0,0.999,0.0017420206769629544,-1.0343632159244924,0.6,10,512,medium,256,0.5210892672575566,PRUNED
72,72,2610.037196,2023-10-12 00:55:30.099850,2023-10-12 01:16:44.564992,0 days 00:21:14.465142,relu,32,0.3,2.6720300152769308e-06,0.95,0.999,0.0011229857294300328,-0.28845095647077124,0.5,10,512,small,256,0.5565530795372258,COMPLETE
73,73,1931.0131555999997,2023-10-12 01:01:00.364066,2023-10-12 02:26:05.366889,0 days 01:25:05.002823,relu,8,0.3,1.3041091077678283e-05,0.9,0.999,0.0022705698215141346,-0.47341709770587603,0.9,10,512,small,256,0.8750183861881685,COMPLETE
74,74,469.5877786,2023-10-12 01:16:44.566182,2023-10-12 01:23:58.102440,0 days 00:07:13.536258,relu,128,0.4,6.506123456072153e-05,0.9,0.99,0.005477653396185722,-0.37901798011242605,0.8,10,512,small,256,0.8979447128755655,COMPLETE
