,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_sde_sample_freq,params_vf_coef,state
102,102,2027.0229404000002,2023-10-12 07:04:19.788623,2023-10-12 07:11:13.702497,0 days 00:06:53.913874,relu,128,0.3,4.636070061801704e-07,0.9,0.995,0.0007745174038266558,0.7305564289031341,0.5,10,512,small,256,0.43146429949435877,COMPLETE
103,103,448.54791879999993,2023-10-12 07:11:13.703703,2023-10-12 08:12:34.032178,0 days 01:01:20.328475,relu,8,0.1,4.378008354827777e-06,0.99,0.999,0.0014720605158980292,-1.4947353221878887,1.0,20,512,medium,256,0.40144902621343526,PRUNED
104,104,1947.5246604,2023-10-12 07:38:44.953428,2023-10-12 08:39:40.439400,0 days 01:00:55.485972,relu,8,0.1,1.0009887167639121e-05,0.9,0.999,0.000577628507739527,-1.3156759641031912,0.6,20,512,medium,256,0.29200998857615257,PRUNED
105,105,392.7658238,2023-10-12 08:12:34.032922,2023-10-12 08:13:31.947049,0 days 00:00:57.914127,relu,512,0.1,1.0683888051211622e-05,0.92,0.999,0.0003989315284575468,0.8455846774123654,0.5,10,512,small,256,0.4406593758128248,PRUNED
106,106,639.559784,2023-10-12 08:13:31.947788,2023-10-12 08:33:37.996130,0 days 00:20:06.048342,relu,32,0.3,1.0762808424180092e-06,0.95,0.999,0.0021772904130936354,-0.764431352122336,0.5,10,64,small,8,0.5950744669897637,COMPLETE
107,107,602.2076854,2023-10-12 08:33:37.997331,2023-10-12 09:38:58.201683,0 days 01:05:20.204352,relu,8,0.1,7.937193987678584e-05,0.9,0.999,0.0023868478789317964,-1.2492247284355598,0.3,20,512,medium,256,0.43360364215422154,PRUNED
108,108,325.3711452,2023-10-12 08:39:40.440330,2023-10-12 08:41:40.379878,0 days 00:01:59.939548,relu,128,0.4,5.387199667734656e-05,0.9,0.999,0.0009435574917915646,-3.7889056380132167,0.6,10,2048,small,256,0.7486840021868268,PRUNED
109,109,1648.6895872,2023-10-12 08:41:40.380566,2023-10-12 08:51:07.373891,0 days 00:09:26.993325,relu,256,0.4,0.0007054917888488898,0.9,0.999,0.0001188464808686541,-1.644759566350573,0.6,10,32,medium,256,0.9596329177286955,PRUNED
110,110,1488.797213,2023-10-12 08:51:07.374889,2023-10-12 09:04:35.643315,0 days 00:13:28.268426,relu,32,0.1,1.5785554213947023e-06,0.99,0.999,0.0010367074355285655,0.2938129503563446,0.6,20,512,medium,256,0.5109547318337992,PRUNED
111,111,510.849579,2023-10-12 09:04:35.644256,2023-10-12 09:06:14.471040,0 days 00:01:38.826784,relu,256,0.4,0.001225002593225021,0.98,0.999,0.000249706452787044,-1.2599978980610507,0.6,10,512,medium,256,0.8470268515983054,PRUNED
112,112,310.0839998,2023-10-12 09:06:14.471984,2023-10-12 09:17:00.699489,0 days 00:10:46.227505,relu,16,0.3,6.177753994068352e-08,0.9,0.999,0.021244687075405364,-0.5653610407467877,0.8,10,512,small,256,0.49594409424036445,PRUNED
113,113,2339.7239252,2023-10-12 09:17:00.700252,2023-10-12 11:21:24.029190,0 days 02:04:23.328938,relu,8,0.3,5.687276715727604e-07,0.9,0.999,0.0008782671943530866,-1.586094271656087,0.6,10,512,medium,64,0.5059557967564492,COMPLETE
114,114,244.6698628,2023-10-12 09:38:58.202571,2023-10-12 09:49:36.529670,0 days 00:10:38.327099,relu,16,0.3,1.76209151809877e-07,0.9,0.999,1.5809428258001626e-05,-1.5636103048587346,0.5,5,8,small,256,0.4470694829412527,PRUNED
115,115,65.46988079999998,2023-10-12 09:49:36.530363,2023-10-12 09:55:30.351101,0 days 00:05:53.820738,relu,32,0.3,1.5949259477428438e-07,0.95,0.999,0.17141102024368332,-0.38808379899980217,0.5,10,512,small,256,0.2680665258342203,PRUNED
116,116,302.0755242,2023-10-12 09:55:30.351793,2023-10-12 09:58:33.370093,0 days 00:03:03.018300,relu,8,0.3,3.0381448047138894e-07,0.9,0.999,8.359156884389792e-05,0.04803034732867434,0.6,1,512,medium,256,0.619676450702623,PRUNED
117,117,2776.3545958,2023-10-12 09:58:33.371065,2023-10-12 10:05:27.160445,0 days 00:06:53.789380,relu,128,0.3,7.917379739873495e-07,0.9,0.999,0.0005352152666907844,-1.6405098616364424,0.9,10,512,small,-1,0.2995894721406963,COMPLETE
118,118,622.5316398,2023-10-12 10:05:27.161453,2023-10-12 10:20:32.291788,0 days 00:15:05.130335,relu,16,0.3,1.5152252917749943e-06,0.9,0.999,0.003603862953520304,-0.0897960825331629,0.5,10,16,small,16,0.4337197878454032,PRUNED
119,119,2743.9640024000005,2023-10-12 10:20:32.292499,2023-10-12 10:50:53.516215,0 days 00:30:21.223716,relu,32,0.3,6.376551136022888e-07,0.9,0.999,0.00151244295791799,-0.11774860401911412,0.5,10,512,medium,256,0.480407895546523,COMPLETE
120,120,454.1549612,2023-10-12 10:50:53.517477,2023-10-12 10:51:58.445475,0 days 00:01:04.927998,relu,512,0.2,1.6264683057584326e-07,0.8,0.9999,0.001272746814249949,-0.7427568820609035,5.0,10,1024,small,-1,0.7165356621048881,PRUNED
121,121,2922.8682514,2023-10-12 10:51:58.446188,2023-10-12 11:00:07.529162,0 days 00:08:09.082974,relu,128,0.3,7.135367884072298e-06,0.9,0.999,0.00242736131985773,-0.8545607100646885,0.9,10,512,small,-1,0.5157320577235411,COMPLETE
122,122,343.9470248,2023-10-12 11:00:07.533128,2023-10-12 11:02:37.375987,0 days 00:02:29.842859,relu,128,0.3,6.471579177721426e-05,0.98,0.999,0.00019647548203148246,-1.877334236409277,0.9,10,512,small,-1,0.13559199530070393,PRUNED
123,123,1523.9009332,2023-10-12 11:02:37.376808,2023-10-12 11:12:55.725184,0 days 00:10:18.348376,relu,32,0.3,2.7093452235411256e-08,0.9,0.99,0.004231356834715787,-0.3451137623937028,0.5,10,512,medium,256,0.4974865945352305,PRUNED
124,124,421.921467,2023-10-12 11:12:55.726250,2023-10-12 11:31:08.716498,0 days 00:18:12.990248,relu,128,0.3,3.512671944081804e-06,0.9,0.999,0.005433050529777259,0.03839257400442375,0.9,10,64,small,-1,0.5115882627870492,COMPLETE
125,125,281.1536668,2023-10-12 11:21:24.042423,2023-10-12 11:44:37.623090,0 days 00:23:13.580667,relu,8,0.2,1.1213734239182185e-07,0.8,0.995,3.309206790690667e-05,-1.4626264405653204,0.3,10,1024,small,-1,0.9037968931339693,PRUNED
126,126,2173.5705885999996,2023-10-12 11:31:08.717684,2023-10-12 12:08:42.624850,0 days 00:37:33.907166,relu,16,0.3,4.158868292355543e-05,0.9,0.999,0.0023268848153872555,-1.1587632650937452,0.9,10,512,small,-1,0.6359595680320655,COMPLETE
127,127,597.3523262000001,2023-10-12 11:44:37.623800,2023-10-12 11:53:25.998714,0 days 00:08:48.374914,relu,32,0.3,2.1397588744107237e-06,0.9,0.999,0.010232810344382174,0.5049777252484264,0.5,10,64,medium,256,0.4137798341440482,PRUNED
128,128,214.7772922,2023-10-12 11:53:25.999665,2023-10-12 12:03:35.205628,0 days 00:10:09.205963,relu,128,0.3,0.00023292568622200173,0.9,0.999,0.24530578891305793,-1.1690971468047526,0.9,10,512,medium,-1,0.3954103427086015,PRUNED
129,129,485.4184472,2023-10-12 12:03:35.206595,2023-10-12 12:35:24.799439,0 days 00:31:49.592844,relu,8,0.4,6.32204118039966e-05,0.9,0.98,0.00032781717151709626,-1.8557512924152801,0.6,10,512,medium,256,0.8476028003981687,PRUNED
130,130,1230.7359744,2023-10-12 12:08:42.626170,2023-10-12 12:11:07.552066,0 days 00:02:24.925896,relu,128,0.3,2.0444624010816758e-08,0.9,0.999,0.00025493376008477804,-1.9768521961855512,0.9,10,512,small,32,0.22126782357170954,PRUNED
131,131,1074.0793832,2023-10-12 12:11:07.552789,2023-10-12 12:28:52.738608,0 days 00:17:45.185819,relu,32,0.3,1.3425283809144128e-07,0.9,0.999,0.005158376678111746,-2.028430058219106,0.5,20,512,medium,256,0.49618499160525276,PRUNED
132,132,2553.4901,2023-10-12 12:28:52.739504,2023-10-12 13:07:00.544842,0 days 00:38:07.805338,relu,32,0.3,9.416177238852383e-06,0.9,0.999,0.00024714536467861185,-0.844584532804165,2.0,10,512,medium,256,0.34305435082034463,COMPLETE
133,133,3626.7487300000003,2023-10-12 12:35:24.800436,2023-10-12 13:14:21.728426,0 days 00:38:56.927990,relu,32,0.3,2.2199428406023804e-07,0.9,0.999,0.0005695913419353216,0.5587134571630498,0.5,10,512,medium,32,0.41284523748830515,COMPLETE
134,134,,2023-10-12 13:07:00.546117,,,relu,8,0.3,2.4485817914698126e-06,0.9,0.999,0.0037485005734240492,0.6594688622319036,0.6,10,512,medium,8,0.6862307296512268,RUNNING
135,135,606.7793318,2023-10-12 13:14:21.729796,2023-10-12 13:15:44.241059,0 days 00:01:22.511263,relu,32,0.3,4.5124712646199096e-08,0.9,0.999,0.0022248996800984084,0.9112789919047737,0.5,1,512,medium,16,0.49187722308946663,PRUNED
136,136,,2023-10-12 13:15:44.242046,,,relu,32,0.3,9.868173618356176e-08,0.92,0.999,0.0006353272074858936,-0.22750598314498216,0.5,10,512,medium,32,0.18234797353714294,RUNNING
