#{"t_start": 1699018540.313246, "env_id": "turbolander-2d-custom-v1"}
r,l,t
-100.310164,59,2.143959
-105.053365,58,3.980258
-105.89466,51,5.416624
-132.582641,74,8.370305
-115.994693,57,10.614248
-127.072986,57,12.976847
-113.261678,52,15.381151
-104.35036,62,18.029884
-106.175649,78,22.825036
-123.494699,55,24.783375
-104.260573,51,29.04479
-111.716339,98,32.141652
-97.092863,47,34.173598
-93.183907,61,37.052129
-184.372482,76,40.807743
-117.320126,56,43.095857
-108.265487,61,46.713581
-102.99179,76,49.443786
-116.958506,52,51.757013
-178.092388,113,57.239336
-114.707036,54,59.056581
-134.487487,52,60.866892
-116.224244,60,63.27502
-111.802959,55,67.702603
-119.052179,61,70.046935
-124.344151,65,72.059586
-108.155336,60,74.477432
