#{"t_start": 1697462147.8959646, "env_id": "turbolander-2d-custom-v1"}
r,l,t
-99.980714,55,0.385993
-99.674395,62,0.479035
-99.696677,63,0.574066
-99.897759,56,0.659938
-99.889931,47,0.73239
-99.716801,56,0.817233
-99.974689,58,0.906817
-99.991413,55,0.990668
-99.709911,79,2.424862
-99.953737,79,2.57395
-99.977854,58,2.872995
-99.982845,66,2.973425
-99.839571,63,3.068757
-99.917842,80,3.190301
-99.895405,54,3.272777
-99.747178,54,3.353164
-99.987059,48,4.938084
-99.967941,53,5.022892
-99.801083,62,5.119949
-99.985162,64,5.220202
-99.839699,91,5.575477
-99.718379,67,5.679421
-99.945372,56,5.766373
-99.939688,68,5.869024
-99.98624,56,7.345042
-99.97057,49,7.421489
-99.988897,56,7.508654
-99.972625,56,7.59483
-99.632365,67,7.698406
-99.888434,58,7.788096
-99.991152,53,8.080513
-99.928699,55,8.166344
-99.797759,59,9.665627
-99.792885,52,9.743979
-99.983725,54,9.826557
-99.773257,61,9.919649
-99.658237,70,10.026628
-99.978105,72,10.13675
-99.925499,84,10.26516
-99.958634,50,10.341403
-99.823681,52,10.420318
-99.97944,94,12.167264
-99.680983,66,12.269944
-99.988807,62,12.365191
-99.908529,71,12.473899
-99.988321,86,12.606526
-99.772112,72,12.717801
-99.876356,91,14.446486
-99.874044,73,14.562922
-99.557718,67,14.941226
-99.885687,55,15.027897
-99.693313,53,15.110014
-99.959609,78,15.228432
-99.716783,69,15.332985
-99.782012,63,15.463527
-99.894962,92,17.065296
-99.626824,68,17.176047
-99.696887,92,17.320266
-99.983613,87,17.751277
-99.802389,64,17.876177
-99.845883,56,17.988722
-99.602833,54,19.529402
-99.988125,67,19.636894
-99.738725,52,19.71952
-99.93265,63,19.821575
-99.747766,67,19.928847
-99.949032,71,20.04142
-99.972837,63,20.494064
-99.699019,59,20.636283
-99.994149,53,22.320482
-99.596019,73,22.433164
-99.96373,65,22.535842
-99.697469,94,22.684586
-99.909926,64,22.786134
-99.678516,86,22.980538
-99.533346,92,23.199543
-99.624335,62,24.89606
-99.907238,74,25.008974
-99.967955,57,25.102064
-99.921936,64,25.253253
-99.75245,84,25.454903
-99.989525,64,25.605623
-99.986084,57,25.737221
-99.989094,54,25.862711
-99.984358,94,27.245606
-99.986186,70,27.662646
-99.541901,138,27.871145
-99.995214,54,27.9538
-99.352119,116,28.128713
-99.987427,72,29.441739
-97.083269,193,29.740304
-99.840398,105,30.270297
-99.762136,85,30.402033
-99.989126,78,31.677233
-99.831817,71,31.787258
-99.483129,129,31.984068
-99.834969,68,32.089107
-99.8081,92,32.231012
-99.986159,109,32.824005
-99.605467,78,34.101242
-99.913635,81,34.224066
-99.934548,89,34.358786
-99.972482,80,34.482717
-99.215425,234,36.367171
-99.462867,114,36.552101
-99.879605,143,36.779382
-99.618893,99,36.939823
-99.426814,117,38.300192
-99.67486,122,38.783894
-99.785363,113,38.96023
-99.967294,108,39.120428
-99.880946,134,39.319991
-99.8241,160,40.693238
-99.862372,113,41.161598
-99.557053,136,41.364223
-99.886535,97,41.509459
-99.953783,106,42.804307
-99.714007,119,42.982243
-99.923092,88,43.113241
-98.901081,100,43.528722
-99.583703,114,44.836543
-96.995731,85,44.96245
-93.197702,75,45.076145
-95.792599,130,45.268449
-98.639362,125,45.454623
-95.432094,97,47.003191
-97.630165,102,47.155457
-99.74426,113,47.32375
-96.417041,86,47.45243
-98.701304,100,47.600691
-99.411989,103,48.895146
-98.717619,114,49.348171
-99.738114,103,49.504512
-99.631172,122,49.685474
-98.256036,143,51.037211
-99.877501,165,51.280537
-99.940629,179,51.821086
-99.360901,153,53.185957
-98.236842,179,53.455138
-95.299563,137,53.661135
-99.774171,126,54.112412
-98.883117,77,55.370424
-99.190051,145,55.586785
-99.345551,165,55.833009
-98.473367,141,56.041562
-82.051616,279,57.858316
-98.275413,228,58.196706
-98.945132,121,59.510839
-95.790788,105,59.959946
-98.804107,144,60.175106
-99.200642,165,61.55511
-99.758097,192,61.840498
-99.798279,69,62.177759
-99.464546,91,62.314468
-99.771347,147,63.691245
-99.920985,109,63.854983
-93.493433,114,64.024036
-93.806223,82,64.145455
-99.401276,158,64.690624
-97.731593,119,66.017698
-97.791747,94,66.157466
-93.666364,137,66.362834
-95.35339,104,66.518295
-97.976345,96,68.023669
-93.767431,85,68.151878
-99.370085,90,68.285553
-99.600192,238,68.638526
-97.286309,112,69.959008
-92.997789,105,70.361495
-86.347523,170,70.615129
-96.776574,119,70.79261
-97.409963,114,72.11652
-94.450568,88,72.248335
-96.96914,225,72.819763
-99.313857,162,74.217257
-99.838364,109,74.3801
-99.244947,136,74.583266
-95.834849,117,74.976279
-73.261646,196,76.421178
-99.928668,110,76.583421
-99.914886,128,76.778983
-89.872999,90,76.915192
-96.664883,156,78.630414
-97.386454,183,78.904179
-98.65151,90,79.038059
-97.682085,286,80.96008
-98.288236,166,81.215619
-99.930213,168,81.467238
-89.728764,191,82.915881
-96.316649,251,83.562594
-93.16057,122,84.907232
-82.539072,262,85.297875
-99.363823,102,86.027547
-90.00066,135,87.44743
-92.874241,158,87.703392
-98.99582,210,88.026631
-96.78516,72,88.149692
-86.229799,180,90.085848
-95.836282,262,90.482238
-88.151022,197,91.927306
-99.396376,201,93.214513
-95.504877,141,93.424365
-99.230694,276,94.990613
-97.320227,396,97.857939
-94.296894,149,98.079912
-97.958393,105,99.815362
-98.277271,83,99.939892
-97.103818,351,101.627162
-98.544976,306,104.815068
-94.390841,220,105.144092
-97.90902,275,106.729585
-99.298483,283,108.56719
2.049518,500,111.854433
-98.10048,331,113.520262
-86.433719,473,117.140341
-78.783207,377,120.442348
-96.327854,205,120.765915
3.229405,500,124.253736
11.201467,500,127.811847
-92.437728,346,129.499228
0.674797,500,133.013279
-99.292145,120,133.189398
0.799741,500,136.447881
-95.088173,463,139.979217
0.925033,500,141.890166
6.827745,500,145.143704
-66.68543,493,148.665112
21.238924,500,151.883133
9.684918,500,154.988835
24.615537,500,156.893048
-80.731206,413,159.877592
6.543177,500,163.100705
-91.48454,401,166.281309
0.552239,500,168.151394
24.183798,500,170.935699
-99.7824,381,173.102357
16.722583,500,176.570326
11.813536,500,178.451929
12.346232,500,182.059869
0.809648,500,184.920208
4.67998,500,187.732685
1.068623,500,190.833915
-99.49533,97,192.115786
0.584612,500,195.372479
9.880918,500,197.269317
30.059614,500,200.441492
-84.777087,435,202.283709
32.166993,500,205.365406
3.02549,500,207.258659
15.566967,500,210.78479
2.080456,500,214.146757
-93.433795,310,215.790876
1.33532,500,219.127889
0.041818,500,222.68442
12.240136,500,226.207528
3.005428,500,229.570339
5.160024,500,231.471953
0.993318,500,234.747029
6.178415,500,237.874537
0.231307,500,241.17161
1.377475,500,243.849355
1.360093,500,245.755459
6.077354,500,248.308181
6.39187,500,251.293435
9.057385,500,253.709675
20.226683,500,256.385376
48.46559,500,258.357399
5.437056,500,261.07168
-92.464308,79,261.190305
44.054711,500,264.302766
0.470748,500,267.596761
52.791013,500,271.057033
1.771942,500,274.066612
25.222802,500,276.00955
7.936891,500,278.780894
26.008215,500,281.553659
9.701704,500,284.974892
7.492965,500,287.803404
41.63247,500,289.708703
35.248536,500,292.709167
3.317675,500,295.095519
4.697236,500,297.611152
16.679067,500,300.707625
-97.75559,72,300.814451
-91.322531,312,302.445278
-76.478248,316,305.618741
1.901038,500,309.169458
46.657881,500,311.074742
9.411032,500,314.62765
8.787258,500,318.318218
0.995012,500,321.844294
5.589395,500,325.356586
0.232205,500,327.239098
2.393154,500,330.732599
11.382376,500,333.688718
-88.375309,79,333.806513
10.887278,500,337.050178
0.916664,500,340.442197
19.695068,500,342.352682
-97.837169,75,343.682874
12.316633,500,345.592222
18.32873,500,348.718935
22.045418,500,351.729496
24.521003,500,355.002451
8.782123,500,358.298614
38.077575,500,360.240151
11.293549,500,363.140632
1.122866,500,366.65737
3.040561,500,369.693023
6.780386,500,373.177116
55.64329,500,375.088539
5.260678,500,378.054116
49.374913,500,381.489762
-98.793175,78,381.606757
-92.709712,75,381.718839
-80.415993,148,381.939892
18.382306,500,385.186843
63.9611,500,388.779088
4.620399,500,391.854806
9.587788,500,395.009109
14.005802,500,396.903391
24.417142,500,400.13814
46.772618,500,403.402751
56.17689,500,406.784132
2.149509,500,410.087323
-94.747789,98,411.396391
29.727178,500,414.836931
-87.620317,88,414.971562
21.452093,500,418.411849
3.102643,500,420.32743
5.657372,500,423.652622
12.221907,500,426.837177
42.981239,500,430.452518
5.323047,500,433.841855
68.792603,500,435.776075
65.430652,500,439.02979
-97.196181,71,439.133641
57.075719,500,442.278023
74.302621,500,445.551741
9.991037,500,448.846523
2.293502,500,450.740545
30.989169,500,454.259504
