#{"t_start": 1697116074.065465, "env_id": "turbolander-2d-custom-v1"}
r,l,t
-98.451702,55,0.292697
-99.050662,59,0.413311
-99.346012,57,0.528126
-95.433752,56,0.639333
-96.660138,60,0.757679
-99.524199,44,0.849001
-99.203269,60,0.965595
-99.298015,55,1.075392
-99.432339,47,1.169932
-99.275284,61,4.143538
-98.242362,56,4.254657
-99.04991,56,4.591818
-99.02287,52,4.696011
-99.309434,57,4.80649
-99.174092,53,4.908902
-99.105033,56,5.021339
-98.977396,53,5.128236
-98.989286,59,5.245523
-99.271901,62,8.221901
-99.250539,53,8.328996
-98.960983,55,8.435819
-99.070424,59,8.550011
-99.18375,61,8.90512
-99.371798,53,9.011914
-93.338385,50,9.10633
-97.578748,65,9.232538
-99.107497,62,12.207586
-99.100208,69,12.339869
-98.156457,71,12.474771
-99.166399,70,12.606388
-98.191864,61,12.723301
-99.028996,67,12.849328
-98.921565,71,13.252755
-99.211106,64,13.374485
-99.084072,68,16.337495
-98.007178,79,16.480189
-93.564822,99,16.657847
-98.347687,130,16.893744
-96.798705,97,17.071756
-98.233091,96,20.517834
-97.195848,110,20.701066
-98.023263,127,20.917203
-98.558617,121,21.121156
-92.228242,130,24.164124
-96.436034,100,24.554344
-96.856217,145,24.803232
-96.777894,96,24.970798
-93.830723,151,28.064675
-96.842544,117,28.269026
-97.681014,79,28.403528
-91.526212,90,28.762071
-93.915926,124,28.978555
-96.188937,83,31.949116
-96.698459,119,32.156875
-98.33174,80,32.301574
-96.173429,104,32.486316
-98.020442,78,32.826256
-98.029993,84,32.976571
-90.560772,127,36.026699
-96.580689,168,36.314262
-96.515913,88,36.464568
-98.171825,123,39.726523
-95.981241,164,40.000384
-97.083904,107,40.179943
-93.732592,133,40.410763
-96.810271,117,43.458315
-97.383383,161,44.165447
-98.061328,137,44.40312
-98.60012,109,44.585687
-90.934092,93,47.590642
-89.928283,197,47.911387
-97.195971,129,48.530526
-86.438202,159,51.644707
-95.348487,188,51.946897
-95.030802,157,52.19618
-94.01963,201,55.928469
-71.542161,915,62.970113
-83.052129,659,76.377587
-57.930778,968,98.855615
