#{"t_start": 1700668821.128456, "env_id": "turbolander-2d-custom-v1"}
r,l,t
-93.019705,65,0.359278
-79.209578,72,0.452672
-112.914295,44,0.511157
-102.023035,50,0.574879
-86.862194,64,0.659058
-93.428279,58,0.734473
-101.827157,61,0.815588
-117.953773,57,0.889662
-87.32149,47,2.098496
-100.674174,55,2.174778
-89.354836,61,2.584776
-94.052825,55,2.658095
-96.65191,71,2.751264
-102.491048,50,2.815351
-73.318816,74,2.911136
-107.237491,58,2.988124
-96.659478,54,3.060388
-80.222231,69,4.356787
-142.438636,91,4.48127
-117.041619,74,4.591151
-91.924954,59,5.007723
-99.370106,52,5.076339
-92.434642,53,5.149058
-80.308551,54,5.224464
-89.515164,56,6.460533
-79.35879,57,6.542939
-100.335202,66,6.636031
-102.833456,67,6.723589
-121.126374,91,6.846559
-104.95884,82,6.954343
-120.50509,57,7.42287
-120.468619,135,8.756932
-106.046211,73,8.854519
-82.890817,69,8.94482
-89.972994,65,9.029653
-122.003078,79,9.134709
-95.146271,88,9.254032
-91.512344,65,9.339089
-104.267709,58,11.057055
-86.952242,92,11.180736
-107.797744,92,11.302929
-87.960419,76,11.405544
-112.463894,64,11.493909
-82.686104,73,11.58933
-121.011792,147,12.90818
-107.606189,68,13.397489
-79.829631,61,13.475414
-105.215021,61,13.555787
-116.520641,63,13.638925
-103.987024,79,13.741976
-99.813979,63,13.822998
-92.034582,63,15.046962
-114.265349,74,15.146846
-91.271832,76,15.249438
-94.356141,99,15.930243
-84.086837,59,16.005396
-88.247901,79,16.111289
-105.433021,70,17.358357
-88.844323,69,17.451325
-72.792708,59,17.529967
-95.757728,61,17.611695
-149.508151,103,17.748838
-86.423332,73,18.270549
-136.663493,76,18.372467
-141.956026,130,19.680342
-79.817637,78,19.788515
-96.70658,104,19.932423
-164.667349,83,20.043857
-102.621079,88,20.167165
-94.803351,59,20.245204
-102.002091,63,22.037856
-94.109552,75,22.13701
-139.62277,121,22.304489
-90.77941,200,22.620329
-71.28013,80,23.882594
-79.448454,67,23.974637
-88.886407,98,24.696236
-76.744747,69,24.784933
-109.221287,102,24.920502
-123.197828,112,25.079453
-90.016049,82,26.337757
-69.655613,85,26.455379
-116.421624,88,26.579129
-100.98718,88,27.545442
-123.08959,103,27.671303
-112.178379,127,28.97858
-90.534424,84,29.092011
-85.028431,121,29.255007
-114.070296,102,29.39265
-89.482922,90,30.249112
-100.371486,88,31.495944
-74.780794,103,31.637183
-105.130553,125,31.803086
-81.991323,75,31.900103
-87.417742,82,32.00916
-94.480963,89,34.148729
-93.76946,136,34.348787
-117.810893,149,34.566164
-151.951919,222,36.002189
-124.540389,116,36.852825
-70.726958,83,36.962651
-91.404595,86,37.083026
-140.425271,74,37.180582
-103.985881,84,37.290286
-96.798081,99,38.548702
-87.821473,82,38.656846
-83.185205,104,39.676578
-53.767172,190,39.947323
-75.120565,137,41.281513
-89.126782,104,41.417916
-144.375095,293,42.694792
-99.017169,148,44.048607
-103.422147,292,44.451042
-76.011793,119,46.739455
-29.53811,164,46.956737
-117.460571,87,47.071461
-100.686687,207,47.363367
-102.51852,104,48.64484
-52.339796,105,49.917286
-161.043493,255,50.265151
-91.432766,198,51.688593
-83.416463,204,52.766527
-90.266221,162,54.177877
-69.73341,233,54.494076
35.642746,95,54.620279
-75.721582,210,56.795139
-96.28211,156,57.003888
-127.493079,130,57.179396
-92.701128,122,57.355774
-143.709595,99,59.146027
16.329319,118,59.303272
-130.121375,258,59.651602
-69.021374,163,61.004433
33.428821,152,61.736814
18.447595,87,61.849686
-12.341227,112,62.005605
-79.46316,253,63.498652
-132.326261,235,64.172898
-8.804696,263,65.730799
-105.582178,324,67.666816
-33.996592,77,67.768444
5.874735,131,67.938086
-51.07719,260,68.285398
-101.172671,146,69.926883
-77.998296,112,70.074908
12.86075,104,70.212183
-44.547484,170,71.587391
14.531042,112,72.095141
-59.229304,114,72.252039
-34.018193,211,72.520387
-38.339013,89,73.795454
-38.50696,96,73.929803
-89.75701,264,74.730236
-101.997925,140,76.077966
57.78932,200,76.346705
-102.569182,134,76.833804
-86.410022,131,78.192482
3.312744,85,78.30845
-22.854458,140,78.499921
-83.79449,77,78.60021
-36.980488,116,78.76116
9.427859,60,78.842346
-84.273375,106,80.439211
-12.811744,82,80.542754
-32.30894,131,80.71249
-99.446451,189,82.12468
11.155975,88,82.24107
10.469293,130,82.718005
-13.217706,110,82.863298
-9.95839,84,82.974462
31.830754,81,84.242863
2.674086,100,84.382079
-30.440065,118,84.532499
-94.257934,188,85.057808
-121.494842,244,86.519321
4.475216,103,86.653747
-13.868071,72,86.746548
-157.51497,270,88.602516
-19.782425,73,88.698798
-106.397813,331,89.157902
-4.527197,252,90.97638
12.24368,89,91.093812
-18.332412,104,91.22983
-35.980757,94,92.530105
-22.076396,85,92.646434
-6.413367,92,93.060317
-7.879258,76,93.161815
-56.590315,101,93.294706
6.078449,70,93.394616
16.095655,95,94.701949
-116.594221,291,95.410954
-27.075781,81,95.517015
18.85009,100,96.817139
-38.04043,74,96.911035
-76.40097,262,97.261629
-95.49451,109,97.741693
-26.625851,149,99.145677
8.188243,108,99.287114
12.379827,89,99.408048
-25.665633,77,99.51256
22.024493,98,99.642582
-5.013405,97,101.233358
-17.023997,82,101.34297
-45.820613,81,101.44857
17.963005,145,101.637432
-38.069648,92,101.761006
-16.164873,75,103.034985
-49.082399,178,103.567766
-37.463325,91,103.690485
-13.647305,103,103.827398
20.241051,80,105.138108
4.641939,83,105.252556
5.708444,80,105.364786
9.711361,78,105.771024
-82.236133,130,105.945719
-48.615861,93,106.070028
-19.253444,82,107.340251
-56.570043,101,107.472266
-25.075098,74,107.573647
-26.373956,80,107.683846
-31.422646,77,108.077543
15.913412,84,108.196696
3.766357,77,109.517893
22.699041,147,109.713678
-0.167116,89,109.834133
-32.673959,124,110.000128
5.660097,89,111.578348
-5.959406,88,111.70188
-68.113995,89,111.820881
-5.432245,71,111.913589
39.099157,126,112.078181
3.241119,185,113.490215
-16.023956,76,113.890078
-36.58525,196,114.14877
-18.145468,157,114.361506
-47.854792,74,115.625547
14.983736,87,115.745235
13.177021,90,115.866805
-10.600629,91,116.288598
7.490187,67,116.374228
-3.401719,111,117.700194
20.037549,102,117.837804
-12.645295,94,117.96654
-76.851955,136,118.156524
11.101302,103,118.588629
-101.651866,93,119.864736
-0.015926,232,120.178525
-36.59721,89,120.306132
16.583556,86,120.423428
0.109658,86,122.046783
-11.433511,103,122.191825
12.024257,98,122.358983
186.895625,162,122.587054
22.257872,100,122.721277
