#{"t_start": 1697459027.958671, "env_id": "turbolander-2d-custom-v1"}
r,l,t
-100.0,53,0.649723
-100.0,74,0.809219
-100.0,48,0.912565
-100.0,52,1.02482
-100.0,71,1.180546
-100.0,54,1.300354
-100.0,50,1.407421
-100.0,50,1.51649
-100.0,51,6.18806
-100.0,63,6.377487
-100.0,59,6.487404
-100.0,56,6.862104
-100.0,64,6.9906
-100.0,54,7.093919
-100.0,50,7.188323
-100.0,60,7.31706
-100.0,45,7.399384
-100.0,93,18.481569
-100.0,56,18.580448
-100.0,67,18.703308
-100.0,56,18.804717
-100.0,53,19.158288
-100.0,56,19.259817
-100.0,53,19.355633
-100.0,59,19.462256
-100.0,55,26.973959
-100.0,53,27.089335
-100.0,75,27.252542
-100.0,65,27.396008
-100.0,90,27.597591
-100.0,63,27.726007
-100.0,69,28.12735
-100.0,60,28.232463
-100.0,92,29.572156
-100.0,65,29.689364
-100.0,82,29.836276
-100.0,73,29.986871
-100.0,56,30.110614
-100.0,51,30.222827
-100.0,65,30.365099
-100.0,61,41.6504
-100.0,70,41.762737
-100.0,61,41.8588
-100.0,84,42.026357
-100.0,57,42.153991
-100.0,59,42.283795
-100.0,71,42.434829
-100.0,58,42.600588
-100.0,68,56.939453
-100.0,66,57.047029
-100.0,65,57.426094
-100.0,103,57.587465
-100.0,73,57.7188
-100.0,65,57.840463
-100.0,67,57.964983
-100.0,73,70.912651
-100.0,75,71.077051
-100.0,82,71.261503
-100.0,73,71.864595
-100.0,81,72.03724
-100.0,74,72.201391
-100.0,79,79.65077
-100.0,74,79.81578
-100.0,68,79.982453
-100.0,59,80.141922
-100.0,102,80.432504
-100.0,58,81.060986
-100.0,62,81.206385
-100.0,66,93.30844
-100.0,74,93.444575
-100.0,65,93.56728
-100.0,83,93.760668
-100.0,76,93.938629
-100.0,85,94.14891
-100.0,66,94.296775
-100.0,64,109.932343
-100.0,84,110.059871
-100.0,59,110.150034
-100.0,71,110.25831
-100.0,88,110.395817
-100.0,68,110.516819
-100.0,146,126.643681
-100.0,87,127.355299
-100.0,78,127.525922
-100.0,95,127.736835
-100.0,70,127.890347
-100.0,90,128.086352
-100.0,72,135.161216
-100.0,100,135.342379
-100.0,137,136.235364
-100.0,97,136.446498
-100.0,119,136.704803
-100.0,132,143.584876
-100.0,88,143.775364
-100.0,115,144.025026
-100.0,92,144.837786
-100.0,99,147.940846
-100.0,106,148.168324
-100.0,118,148.417453
-100.0,90,148.623797
-100.0,125,148.921267
-100.0,84,157.160395
-100.0,141,157.401556
-100.0,69,157.524147
-100.0,95,157.712415
-100.0,124,158.067962
-100.0,97,170.670282
-100.0,215,171.733684
-100.0,123,171.975959
-100.0,120,186.056116
-100.0,103,186.217984
-100.0,89,186.355553
-100.0,129,187.114976
-100.0,160,201.269751
-100.0,115,201.450791
-100.0,116,201.622852
-100.0,125,201.825954
-100.0,110,202.486509
-100.0,178,214.581585
-100.0,96,214.795917
-100.0,100,214.999733
-100.0,105,215.192403
-100.0,92,218.706223
400.07839,143,219.008669
-100.0,147,219.320358
-100.0,124,219.584067
-100.0,105,230.307142
-100.0,92,230.88014
-100.0,146,231.189401
-100.0,109,231.425411
-100.0,128,239.400299
-100.0,105,239.638891
635.339751,208,240.408572
316.820931,217,253.875532
-100.0,107,254.07147
747.838178,77,254.217015
-100.0,147,254.731342
-100.0,93,254.875401
857.948615,74,271.800022
-100.0,139,272.024169
711.249922,79,272.149247
680.195345,107,272.313554
-100.0,146,289.298687
632.282806,73,289.528599
689.131667,97,289.706258
714.725719,72,289.81333
-100.0,141,290.035227
786.230034,90,304.323398
678.475621,74,304.453137
483.24176,91,304.823044
678.368003,76,304.941114
-100.0,147,305.169096
756.387086,91,305.309906
721.486676,81,323.595683
683.615386,88,323.769352
667.604181,89,323.905118
645.092007,92,324.252919
767.827669,87,324.393339
725.415553,71,324.506625
636.208037,84,345.325962
657.519373,86,345.501761
739.683464,67,345.60628
402.137945,164,346.053334
748.643542,81,346.179901
-100.0,102,369.011619
738.100242,82,369.1409
767.315022,85,369.28018
596.063692,86,369.416102
-100.0,105,369.578455
705.763905,82,385.630687
859.702946,71,385.788678
746.635712,114,386.093383
568.095629,129,386.49371
703.73498,71,386.71681
753.355154,59,386.897763
504.251063,109,402.085195
564.861367,84,402.524359
697.886689,86,402.65957
714.435236,88,402.793887
752.287281,81,402.92217
711.989357,60,403.016731
827.685103,62,413.532913
805.211751,86,413.703248
738.433084,72,413.83808
762.6122,55,413.942524
753.475461,60,414.282948
646.929024,64,414.378805
778.378043,72,414.485594
681.198869,67,415.82286
871.307307,71,415.966259
783.229283,64,416.085533
684.138227,73,416.220675
632.633038,62,416.33807
697.159008,54,416.438502
839.786106,58,416.762854
672.417674,56,416.859263
760.756633,75,418.145081
651.364397,63,418.247489
566.951732,83,418.403902
744.184841,65,418.524951
722.700547,63,418.641266
803.845953,61,418.754061
568.678357,92,418.925687
674.779444,63,420.590079
762.62577,61,420.706158
556.769391,72,420.849789
880.940452,60,420.98405
548.624392,97,421.165099
710.090634,95,421.342323
683.703512,85,421.501531
608.912206,82,422.787522
696.221436,55,422.876171
616.552579,63,423.287889
655.384054,55,423.415713
600.407368,74,423.583692
764.529395,58,423.716399
847.074417,72,423.879023
753.201901,62,425.190562
784.673818,57,425.278406
718.012035,67,425.378691
789.623247,72,425.495255
771.510315,61,425.823724
728.010141,58,425.930422
793.587535,68,426.054514
751.938644,99,426.237736
650.654041,63,427.580159
594.012333,80,427.702013
756.842801,54,427.782837
643.683097,56,427.868495
712.347191,62,427.963463
691.498317,63,428.082442
702.962602,52,428.466857
714.488738,58,428.59751
698.444224,56,429.951819
650.888374,71,430.056276
821.238241,53,430.133569
757.371322,70,430.2379
800.176079,74,430.347917
791.546476,92,430.48601
661.984511,54,430.582038
830.074584,54,430.704475
868.788236,52,432.329005
675.515461,89,432.46377
817.373943,76,432.57809
871.837339,66,432.67808
879.123087,54,432.76378
730.747849,82,432.952959
823.331161,57,433.082896
525.775482,87,434.533062
768.914873,71,434.816777
779.353289,58,434.90651
881.983165,60,434.998267
804.900587,51,435.076302
685.426462,83,435.202674
729.798059,54,435.286934
605.035637,64,435.432057
692.520123,69,436.885142
902.898627,61,436.976666
572.691843,84,437.103208
694.765502,56,437.362609
742.015928,50,437.43982
737.740257,58,437.527407
606.808918,87,437.657523
865.87955,56,439.107166
791.082406,54,439.202844
760.970137,50,439.278731
874.077206,57,439.363181
876.503073,52,439.441908
891.305153,55,439.524741
557.289383,83,439.651385
706.935645,61,439.938962
603.263552,54,440.02367
598.571754,78,441.983605
881.164389,56,442.164336
790.408247,55,442.337811
663.533143,60,442.459197
705.25698,59,442.552934
743.161554,84,442.686626
810.161271,50,442.762393
778.945143,57,442.84855
749.801044,71,444.483798
645.766029,81,444.667366
656.525635,61,444.807918
771.1864,52,444.897665
667.296409,51,444.975707
620.049042,53,445.056809
834.112753,54,445.137952
585.164667,67,445.239543
570.638154,73,446.753886
666.172927,62,446.870915
643.976333,59,447.208854
693.412778,58,447.318815
793.754447,55,447.42174
848.34843,58,447.573495
621.269016,80,447.743188
882.032562,53,447.837255
694.157786,57,449.130889
731.042447,54,449.213678
850.647608,53,449.309646
789.289969,50,449.398752
720.188192,54,449.494685
886.995689,57,449.861963
723.388647,67,449.998929
824.490077,59,450.111931
769.259666,65,450.233145
857.308193,71,451.633854
735.672661,75,451.781836
823.127074,51,451.896998
641.086959,77,452.055855
888.234297,55,452.158265
859.677511,53,452.258185
807.00009,62,452.633603
770.01659,55,452.759437
694.858183,62,454.027297
831.413402,82,454.153196
723.067906,72,454.269608
746.224854,64,454.395666
643.607464,86,454.561785
599.469717,55,454.66845
804.784465,55,454.772487
740.907195,57,456.376086
820.925677,59,456.465039
836.035402,58,456.551827
712.718357,67,456.655992
680.085424,62,456.759686
588.509002,67,456.877126
672.153412,54,456.97829
722.754874,49,457.070557
834.65724,54,457.171895
706.228475,59,458.62217
734.745679,50,458.699542
682.041192,50,458.966297
889.732531,52,459.08436
712.54091,62,459.227794
685.332213,55,459.352489
-100.0,55,459.474909
779.640282,50,459.588325
879.314172,61,459.727083
856.005708,52,461.136475
658.779426,54,461.218326
711.815519,58,461.306231
655.213532,52,461.395163
844.965804,55,461.79875
871.345165,53,461.917711
680.726537,50,462.030274
812.689361,52,462.147557
851.064804,52,462.264688
676.971009,53,463.5889
614.870784,56,463.681981
818.3194,49,463.761777
630.215261,55,463.85179
766.479905,58,463.946784
835.979626,74,464.119102
887.837477,59,464.253807
830.712539,56,464.653029
765.978203,48,464.800364
750.761957,64,466.395793
583.821478,71,466.502959
805.169087,80,466.624004
809.41145,52,466.702595
881.240012,53,466.792381
758.827479,56,466.919498
860.998292,56,467.048154
646.812824,58,467.180599
734.765195,51,468.798331
836.850015,66,468.904561
832.887474,64,469.004984
841.871282,60,469.097335
788.979951,49,469.171834
641.012843,56,469.257454
715.858894,64,469.382545
786.605871,51,469.496828
749.074532,57,469.609108
728.224674,55,471.20152
775.688892,56,471.289148
710.701431,55,471.564105
-100.0,56,471.661424
711.013086,55,471.766814
733.491916,54,471.867485
589.3481,81,472.019092
745.894879,59,472.130264
-100.0,55,473.617927
696.190733,58,473.709627
857.427252,54,473.793824
804.825455,57,473.881827
692.499838,69,473.988261
677.955375,63,474.286957
781.407768,48,474.380422
616.915973,55,474.486089
609.859967,55,474.593262
582.647787,75,476.179614
862.712685,55,476.267423
738.991251,52,476.348306
582.17827,73,476.462528
835.779844,50,476.541873
769.877003,48,476.616434
815.615685,54,476.700102
776.723058,59,477.047005
874.770959,55,477.149801
694.567335,64,478.687127
891.477161,66,478.790215
693.111886,52,478.871361
682.726815,54,478.95308
573.911074,68,479.058982
885.67788,52,479.139141
883.023102,62,479.233597
688.862451,67,479.33803
-100.0,55,481.239664
813.19857,62,481.334689
861.603301,76,481.450553
779.022112,61,481.543336
678.595582,58,481.632753
810.877226,49,481.71455
878.757616,50,481.796925
888.460049,56,481.886874
733.955895,56,481.977048
784.381579,56,483.383419
692.766639,53,483.505087
680.259228,64,483.810585
693.479289,62,483.903114
742.422642,54,483.984382
697.299745,49,484.056767
763.03504,69,484.159523
765.198669,71,484.266232
809.431825,57,485.697679
648.397051,55,485.797359
720.91867,51,485.87321
852.009276,60,485.9635
646.140688,48,486.034899
679.363217,53,486.305355
833.642141,54,486.386618
871.181051,52,486.464245
890.704062,77,486.578839
850.130321,50,487.94762
647.812547,73,488.117496
687.719641,51,488.22508
690.828212,65,488.323294
689.543757,57,488.408397
651.444409,59,488.496949
771.048673,52,488.759939
730.401103,56,488.844963
822.439331,56,488.929601
785.948095,55,490.312346
732.533841,65,490.460318
834.931493,51,490.580355
738.324287,53,490.682652
712.939496,54,490.761302
631.062927,74,490.873218
640.878624,62,490.966202
694.298106,74,491.075876
