#{"t_start": 1697135631.7578654, "env_id": "turbolander-2d-custom-v1"}
r,l,t
-90.348953,47,0.267974
-96.252044,52,0.347378
-94.957918,50,0.424186
-93.731565,54,0.507355
-90.940133,51,0.583595
-78.725292,58,0.672246
-84.738506,49,0.749587
-77.218291,52,0.83312
-97.008704,55,0.917249
-79.866877,54,2.14511
-81.376162,55,2.228633
-77.768834,57,2.525874
-91.327394,62,2.622847
-85.562514,50,2.699383
-87.261447,52,2.780118
-85.185907,53,2.860963
-90.906193,55,2.943648
-74.760655,56,3.029692
-75.692717,55,4.261167
-87.510918,58,4.351179
-80.202351,53,4.43291
-88.672416,49,4.508285
-81.912853,62,4.603553
-83.177974,53,4.895119
-88.973583,51,4.972622
-87.518791,63,5.06888
-107.061651,64,5.167019
-88.388337,64,6.404937
-82.163193,55,6.488686
-78.757651,60,6.579963
-91.355079,56,6.666109
-76.090546,56,6.750588
-100.171674,59,6.839839
-83.275898,67,7.161145
-82.11575,61,7.253255
-86.403749,69,8.490583
-74.288884,71,8.596057
-86.501588,69,8.69815
-73.758953,60,8.786927
-76.211292,61,8.877932
-85.855596,59,8.964247
-94.108771,66,9.062212
-77.697988,65,9.158838
-86.668163,65,10.620498
-96.942733,64,10.722154
-72.019478,77,10.840911
-94.755092,56,10.925805
-94.230949,71,11.034445
-70.421053,71,11.142996
-79.882966,59,11.23399
-87.598631,68,11.337593
-79.637055,69,12.649014
-90.349284,78,13.118184
-92.132119,65,13.231197
-77.434331,82,13.364338
-80.461162,77,13.490591
-104.760652,63,13.592694
-71.035004,73,14.925672
-85.105061,64,15.027813
-93.105295,74,15.145016
-79.084377,77,15.272357
-93.889419,89,15.75156
-77.356573,67,15.858013
-83.791028,74,15.980346
-69.560581,73,17.307664
-79.392491,88,17.451362
-72.625132,79,17.574392
-88.489062,74,17.688383
-73.515012,69,17.796179
-98.207578,90,18.296768
-89.195995,73,18.413914
