#{"t_start": 1697135631.757461, "env_id": "turbolander-2d-custom-v1"}
r,l,t
-78.976233,61,0.291926
-84.20544,44,0.357962
-87.484262,54,0.439946
-91.353554,60,0.533019
-90.848159,56,0.618551
-92.001063,58,0.70488
-83.501021,54,0.793922
-81.900547,51,0.872463
-96.46091,53,0.953793
-95.699291,50,2.174896
-83.431976,57,2.262699
-77.727058,61,2.567629
-72.947916,68,2.671784
-79.256117,62,2.766546
-87.44781,49,2.840845
-73.020454,65,2.939388
-77.982305,54,3.022632
-71.272262,61,4.263181
-94.319766,54,4.346987
-76.896151,49,4.422685
-95.011187,60,4.514965
-89.55947,51,4.593117
-95.562824,50,4.878644
-89.527623,58,4.968165
-84.671265,54,5.051407
-78.956952,61,5.145088
-95.666824,56,6.370478
-79.656171,65,6.469625
-85.392477,72,6.578625
-87.474212,56,6.664537
-83.537919,62,6.758433
-87.465247,56,6.84386
-89.983649,66,7.163131
-98.672821,69,7.267536
-79.927664,61,8.492755
-82.426281,65,8.589077
-69.471335,65,8.685145
-88.267355,59,8.77301
-71.881939,63,8.865178
-95.423097,57,8.950375
-86.037853,67,9.049471
-80.025224,60,9.138938
-88.489175,67,10.602981
-104.204049,68,10.710349
-69.021779,85,10.841044
-91.569489,65,10.939879
-70.263142,80,11.061479
-79.804195,63,11.158594
-96.110329,67,11.261046
-78.797379,62,12.555483
-80.939544,72,12.671514
-95.09448,80,13.149183
-93.998187,66,13.262671
-99.31699,75,13.381779
-71.910746,71,13.49935
-77.31892,69,13.610814
-74.113345,69,14.938315
-90.391716,79,15.063459
-104.474913,99,15.224376
-81.58059,77,15.674645
-96.711754,89,15.828465
-75.502555,61,15.925604
-93.377856,74,16.053533
-78.027576,68,17.369718
-95.040221,76,17.489272
-93.590007,71,17.5996
-70.426687,86,17.732662
-76.044994,67,17.83681
-87.480778,73,18.310834
