#{"t_start": 1700750021.7813938, "env_id": "turbolander-2d-custom-v1"}
r,l,t
-87.859348,66,0.237649
-131.586768,61,0.269079
-94.893364,47,0.291642
-108.849447,43,0.311848
-164.672037,68,0.339637
-92.892813,59,0.360061
-113.844786,49,0.378016
-111.06855,54,0.397463
-101.019795,58,0.42368
-92.632944,54,0.443515
-116.61857,55,0.46404
-102.999913,50,0.482442
-205.050145,72,0.514669
-96.357553,51,0.536898
-110.361924,45,0.555839
-109.45004,48,0.578513
-124.677069,71,0.614738
-85.123442,77,0.643383
-115.037434,49,0.661188
-96.836034,60,0.682298
-102.921515,42,0.699214
-173.236718,78,0.731732
-96.488654,62,0.759408
-110.125528,51,0.782196
-198.728443,93,0.827925
-91.392997,76,0.862506
-124.454093,55,0.88851
-96.544377,71,0.919937
-87.733491,70,0.952661
-100.393308,47,0.974796
-10.99956,87,1.011851
-175.058073,70,1.039049
-35.747949,123,1.087641
-71.979783,56,1.10806
-98.493724,47,1.126793
-172.410517,71,1.152296
-113.320094,58,1.17505
-103.484334,55,1.195125
-116.697993,59,1.216421
-110.840336,123,1.263319
-93.2492,59,1.287996
-100.23652,49,1.306217
-118.136062,73,1.334641
-98.443486,47,1.354547
-156.915752,61,1.383127
-94.435635,53,1.404567
-137.403634,42,1.421631
-122.920575,49,1.443236
-75.673844,84,1.484226
-105.849013,61,1.51463
-152.838674,63,1.548522
-100.319384,47,1.572808
-131.645658,60,1.608503
-90.707824,54,1.641104
-147.415815,71,1.680923
-101.922192,56,1.71206
-114.480947,52,1.743504
-104.634254,45,1.769572
-101.130571,54,1.800903
-76.393194,68,1.838455
-119.717541,51,1.868568
-106.706707,65,1.903415
-131.838561,74,1.940846
-119.926605,54,1.966929
-76.59012,57,1.996694
-101.930901,53,2.020605
-101.214338,53,2.047598
-148.78881,57,2.074174
-140.902254,58,2.10743
-132.109727,52,2.136526
-127.294627,48,2.16608
-89.024026,58,2.197265
-88.583027,80,2.249739
-110.497593,52,2.278569
-105.957113,49,2.306153
-154.885537,70,2.346026
-67.924364,62,2.387669
-110.284758,51,2.416148
-102.227312,50,2.442618
-91.452756,54,2.474945
-88.05748,69,2.525035
-104.711445,53,2.561615
-102.664157,53,2.596049
-91.783017,53,2.630059
-101.38513,49,2.662547
-86.866268,57,2.693947
-102.468806,59,2.727127
-106.159052,55,2.757768
-159.406495,116,2.835673
-125.244389,54,2.868124
-112.676992,65,2.905922
-107.817192,53,2.940416
-99.093177,42,2.972682
-185.01047,93,3.03104
-102.557813,42,3.053847
-88.180349,66,3.095076
-98.937987,58,3.1323
-97.73841,48,3.160181
-85.139424,60,3.19778
-123.612402,58,3.235122
-72.380937,113,3.31254
-94.821251,58,3.346186
-98.026822,51,3.373328
-109.926954,51,3.407764
-179.33931,78,3.463382
-106.865849,58,3.503201
-192.289319,88,3.560666
-201.476155,81,3.615623
-123.573178,55,3.651508
-197.39728,83,3.700648
-87.71106,51,3.730287
-111.736134,57,3.769354
-111.295997,52,3.805311
-103.304514,57,3.842343
-143.436229,64,3.884541
-107.372708,48,3.916663
-106.476181,118,3.999885
-118.269091,54,4.034578
-87.448075,52,4.067054
-93.332973,48,4.102427
-115.527455,45,4.132157
-104.812644,59,4.168846
-167.33895,60,4.210415
-151.474508,59,4.249559
-145.840522,76,4.299069
-106.341853,47,4.330353
-117.766209,61,4.364459
-80.011027,92,4.420692
-110.188022,53,4.454496
-119.842121,44,4.478032
-107.082727,52,4.50891
-142.843027,73,4.54804
-99.172674,49,4.579767
-103.289582,55,4.612167
-165.745038,60,4.648179
-170.149178,108,4.719234
-114.139788,59,4.756256
-98.711287,46,4.780215
-108.485423,56,4.810361
-116.874138,48,4.838387
-108.394623,52,4.871787
-80.861466,57,4.902992
-114.762072,51,4.932714
-95.391015,48,4.959163
-113.942689,56,4.99428
-195.300376,90,5.04674
-101.907517,58,5.079196
-100.760664,52,5.107988
-101.425646,53,5.141914
-112.578091,77,5.182607
-104.969112,45,5.208907
-99.049026,57,5.243405
-96.609646,58,5.280701
-104.765728,67,5.320532
-105.176531,51,5.354376
-90.967926,58,5.391437
-138.706687,66,5.433931
-127.643346,55,5.464175
-117.824863,65,5.49839
-101.325946,47,5.525745
-111.714485,54,5.562628
-185.561191,70,5.602249
-107.349822,51,5.631227
-117.672027,70,5.673225
-116.216119,55,6.41745
-18.382842,50,7.012849
-10.255921,56,7.509704
-13.153711,66,7.953907
-100.401058,80,8.485107
-173.347016,88,9.299101
-10.836295,53,10.075103
-44.803253,50,10.536723
1.94373,53,10.913467
-41.139699,59,11.311517
-31.748226,56,11.722032
-74.516896,64,12.129618
-8.726037,55,12.615437
-28.884499,52,13.046642
-5.252333,60,13.45335
-48.814871,63,13.902207
-28.356415,51,14.3476
-29.942409,65,14.735531
-2.189269,52,15.203158
-45.728538,80,15.59999
-30.910469,53,16.179923
-22.465983,69,16.610416
-86.770521,84,17.119008
-88.061612,77,18.415082
